# x + y
2*(z^(x|(~y|z))) - (~(x&y)&(x^(y^z))) - 3*~(x|(y^z)) - (z^(x&(~y|z))) - 3*(y^~(x&(y|z))) + ~(x&(y^z)) + 3*(~(x^y)|(x^z)) + (z|~(x|~y)), x + y
-6*(z^(~x|(y|z))) + 9*(~(x&y)&(x^(y^z))) - 2*~(y|~z) - 6*(y^(x|z)) + (z&~(x&y)) - 4*(y&~(x^z)) - 2*(y^~(x&z)) + 8*(z^~(x&(~y|z))), x + y
-(~y|(x^z)) + ((x&z)|(y&~z)) - 3*(y^(~x|(y^z))) + 2*(y^~(x&(y&z))) + 2*(z|~(x^y)), x + y
3*((x&z)^~(y&~z)) - 2*~(x^(~y&z)) + 2*(~(x^y)&~(x^z)) - (y&z) - 2*(~(x^y)|(x^z)) + 4*(y|(x&z)) - ~(x&~z), x + y
-2*~(x|(~y|z)) - ~(x|(y^z)) - (y^~(x&(y|z))) + (y^(~x&(~y|z))) + ~(x&(y^z)) + ~(~x&(y^z)) + (x|y) - ~(y&~z), x + y
2*(y&(x^z)) - (z^~(~x&(y&z))) + ((y&~z)|~(~x|(~y&z))) + (z^~(x&(y|z))), x + y
(z^(x|(y&z))) + 2*(x&~y) - (y^~(~x|(y^z))) + 3*y - (x|(y|z)), x + y
12297829382473034409*(x&~y) + 4*((x&y)^~(x^(~y|z))) - 2*~(y&z) + 12297829382473034411*((x^y)&(x^z)) + 6148914691236517204*(y^(x&(y|z))) + 6148914691236517207*(z|~(x|y)) + 12297829382473034411*(~x|(~y|z)), x + y
11068046444225730969*(x&~z) + 3689348814741910322*(z^(~x|(y&z))) + (~z|(x^y)) + 3689348814741910324*~(~x|(y^z)) + 3689348814741910323*(x&(~y|z)) + 11068046444225730971*((x&z)|(y&~z)) + 3689348814741910323*((y&z)|(~x&(y|z))) + 14757395258967641293*(y^~(x|(y&z))), x + y
-(~(x&y)&(y^z)) + ((x^y)|(x^z)) + (y&~(x^z)) + (x&(y|z)), x + y
-5*~(y|~z) - 4*(~x&(y&z)) + 2*(y^~(~x|(~y&z))) - 4*((y&~z)|~(x|(~y&z))) + 3*(~(x|~y)|(y^z)) - (x^(~y&z)) - (z&(x|~y)) + 4*(z|~(x^y)), x + y
~(x|z) - (z^~(~x&(~y&z))) + 2*~(~x|(y&z)) + ~(x|(~y&z)) - ~(x^(y^z)) + (y^(~x&(y|z))) + (y&(x|z)), x + y
~(~x|(y&z)) - ~y + (y&(x|~z)) + ~(y&~z), x + y
11068046444225730970*(~y&~(x^z)) + 11068046444225730970*(y^(x|z)) + 14757395258967641293*(y^(x&z)) + 11068046444225730971*(y^(~x&(~y|z))) + 3689348814741910323*(x|~y) + 7378697629483820647*(y|(x&~z)) + 3689348814741910325*((x&y)^(x^(y&z))) + 11068046444225730968*(~x|(~y|z)), x + y
2*(y^~(x|(y^z))) - (z^(~x&(~y|z))) + (x&(y|z)) - (~y|~(x^z)) - (y^(~x&(y^z))) + 2*(z|(x&~y)), x + y
6148914691236517205*(~z&(x^y)) + 12297829382473034411*((x&y)|~(y|z)) + 6148914691236517206*((y&~z)|~(~x|(~y&z))) + 12297829382473034411*(z^(~x&(~y|z))) + 6148914691236517205*(~(x^y)|~(x^z)) + 6148914691236517205*(z^~(x|y)) + (y|(x&z)) + 12297829382473034411*(x|z), x + y
7405131137301147392*(z^(~x|(y&z))) + (x^y) + 11041612936408404224*(~y|(x^z)) + 11041612936408404224*(z^(~x|(~y&z))) + 2*(y^~(x|~z)) + 2*(y&z) - 2*((y&z)|(~x&(y|z))) + 7405131137301147392*(~(x^y)|(x^z)), x + y
-5*(y&~z) + 2*((x&y)^~(x^(~y|z))) - 2*(x^(~y|z)) + 3*((x&z)^(y|z)) - (~(x&y)&~(x^(y^z))) + 3*(y^~(x|(y^z))) - 2*(x^(y^z)) + (z^~(~x|(y&z))), x + y
(~y&~(x^z)) + 2*(~x&(y&z)) - ~(x|(~y&z)) - ((x&y)^(y|z)) - ~(~x|(y^z)) + 2*((y&~z)|~(~x|(~y&z))) + (z|~(x|~y)), x + y
12297829382473034407*(~z&(x^y)) + 12297829382473034414*(y^(~x|(y&z))) + 4*(y^(x|(y&z))) + 12297829382473034409*((x&z)^~(x^(y&z))) + 6148914691236517204*(~y|(x^z)) + 6148914691236517205*(y^~(x&z)) + 12297829382473034413*(y^(x&~z)), x + y
-3*(y^~(x&(~y&z))) - ~(x|(y&z)) + 2*(z^~(~x&(y|z))) + 2*(~(x|y)|(x^(y^z))) + ((x&~y)|(x^(y^z))) - (~(x|~y)|(x^(y^z))), x + y
6148914691236517204*((x&z)^(x^(~y&z))) - 2*(y&(x^z)) + 6148914691236517203*~(x^(~y&z)) + 3*(y^(x&z)) - 2*(~(x&~y)&(x^(y^z))) + 6148914691236517207*(x^(y^z)) + 6148914691236517206*(y|~z) + 6148914691236517207*(z|~(x^y)), x + y
~(y|z) - 2*(x&~y) - (z^~(x&y)) + 2*~(~x&(~y|z)) + ((x^y)|~(x^z)) + (z|(x&~y)) - (~x|(~y|z)), x + y
4*~(~x|(y|z)) + (z^~(x&~y)) - 2*~(x&z) + (~x|(~y&z)) + (y&(x|~z)) - ((y&~z)^(x|(y^z))) + 2*(y^(~x&(y^z))), x + y
6148914691236517204*(y^~(x&(~y&z))) + 6148914691236517206*((x&~y)|(y^z)) + 6148914691236517205*(z^(x|(~y&z))) + 12297829382473034411*(x^(~y&z)) + 12297829382473034411*((x&~y)|(x^(y^z))) + 12297829382473034412*((x&y)|~(y^z)), x + y
7*~(x|z) - 6*~z + 4*(z^~(~x&(~y&z))) - 2*(y^(x|(~y|z))) + ((x|y)&(x^(y^z))) - 3*~(x^(y&z)) + 3*x + (z^~(~x|(y&z))), x + y
16403262386426693752*~(x|(~y|z)) + 2043481687282857864*((x|y)&(x^(y^z))) + (x&y) + 16403262386426693752*x + 16403262386426693752*(y^(x&~z)) + 2043481687282857865*(x|y), x + y
12297829382473034410*~(x|(y&z)) + 12297829382473034408*(y^(~x|(y|z))) + 3*(y^~(x&~z)) - ((x&~y)|~(x^(y^z))) + 12297829382473034411*(y&z) + 6148914691236517205*(~(x&~y)&~(y^z)) + 12297829382473034411*(z^(x&~y)) + 6148914691236517207*((x^y)|~(x^z)), x + y
12297829382473034411*(z^(~x|(y|z))) + 12297829382473034412*(y^~(~x|(~y&z))) - 2*(y^~(~x&(y|z))) + 6148914691236517207*(~(x|~y)|~(x^(y^z))) + 6148914691236517206*(z&~(x^y)) + 12297829382473034413*(x&(~y|z)) + 6148914691236517205*(z^(~x&(y|z))) + 12297829382473034410*((y&~z)^(x|(y^z))), x + y
-(y^~(~x&(~y&z))) - ~x + (y^~(~x&(~y|z))) + (~z|~(x^y)) + (y|~(x^z)), x + y
-3*(~y&~(x^z)) - 2*(z^~(~x&(~y|z))) + (y^~(~x&(~y|z))) + 2*(~(x|~y)|~(x^(y^z))) + ((x&y)|(x^(y^z))) + (x|~y), x + y
-3*(~z&(x^y)) - 6*(y^~(x&~z)) - (y^(x&z)) - 12*((x|y)&~(y^z)) + 8*(~(x|~y)|~(y^z)) - 2*(y^~(x|(y&z))) - 3*(z|(x^y)) + 11*(x|z), x + y
5630687548019729658*(y^(x|(~y|z))) + (x^y) + 5630687548019729660*(x&y) + 12816056525689821958*((x&y)|(y^z)) + 5630687548019729658*(y&~(x&~z)) + 12816056525689821958*(~(x|~y)|~(y^z)), x + y
-2*~y + (y^(x&z)) + 2*~(x^(~y|z)) - 2*(x|y) - (z|~(x|y)) + 3*(x|(~y|z)), x + y
(~(x^y)&(x^z)) + 2*(y^(x|(y&z))) - ((x|y)&(y^z)) + (x&y) + (y^~(x|z)) + (y|(x&z)) + 1, x + y
2*~(~x|(y&z)) + (~x&(y|z)) - 2*(y^~(~x&(y&z))) + (~(x&~y)&~(y^z)) + ~(y&~z), x + y
2*~(~x|(~y|z)) - 3*(~x&(~y|z)) + 2*((x&~y)|~(x^(y^z))) - 2*~(~x|(~y&z)) + 3*((x|~y)&(x^(y^z))) + ~(x^z) - 2*((x&~y)|(x^(y^z))) + 2*((y&z)|(~x&(y|z))), x + y
((x|~y)&~(x^(y^z))) - (z^(x|~y)) - (~y|(x^z)) - 2*(y&~(x^z)) + (y^(~x|(y^z))) + 3*(y|(x&~z)), x + y
629034907083302480*(~y&(x^z)) + 6148914691236517203*~(y|~z) + 5519879784153214725*((x&z)^(x^(~y&z))) + 11668794475389731928*~(x|~y) + 2*~(x|~z) + 6777949598319819687*(y^(x&z)) + 12297829382473034412*~(x^(~y|z)) + 6148914691236517206*((x&y)|(y^z)), x + y
-3*(~(x&y)&(x^(y^z))) - 3*(z&(x^y)) + 2*~(x^(~y&z)) - ~(x^(y^z)) - (y&(x|~z)) - ~(x&~z) + 4*(x|(y|z)), x + y
-3*(~(x&y)&~(y^z)) + 2*(x^z) - (y^(x|(~y&z))) - (z^~(x|~y)) + 3*((x^y)|~(x^z)), x + y
6148914691236517206*~(x|z) - 2*(x^(y|z)) + 12297829382473034411*(x^z) + 12297829382473034412*(y^(x&(y|z))) + 12297829382473034410*(z^(~x|(~y&z))) + 6148914691236517207*((x&y)|(x^(y^z))) + 6148914691236517205*(x&(~y|z)) + 12297829382473034412*((x|y)&~(y^z)), x + y
-3*(~z&~(x^y)) + 6*(y^(x|~z)) - 5*(z&~(x&y)) - (z^~(~x|(~y&z))) + (y^(~x&(~y|z))) - 4*((x&~y)|~(y^z)) + 5*(z|(x&y)), x + y
12297829382473034411*(z^~(~x&(~y&z))) + 6148914691236517206*(y^~(~x&(~y|z))) + 2*(x&y) + 12297829382473034410*(y^~(x&(y|z))) + 12297829382473034411*(~y|~(x^z)) + 12297829382473034411*(y|(x&~z)), x + y
-2*((x&z)^~(x^(y&z))) - 2*~(x&z) + (~(x|~y)|~(x^(y^z))) - 2*~(~x&(y^z)) - (z|~(x|~y)) - 5, x + y
-2*(y^~(~x&(y^z))) + 6*(z^(x|~y)) - 3*(~y|(x^z)) + 4*~(~x&(y|z)) - 4*(~(x|~y)|(x^(y^z))) + 7*(y^(x&(y^z))) - 12*((x&y)|~(x^(y^z))) + 7*(z|~(x^y)), x + y
-(~(x&y)&(x^(y^z))) + (~y&~(x^z)) + (y^~(~x&(~y&z))) - (y^(x|(y^z))) + 2*(y|(x^z)) + 2*(y|(x&z)) - 2*(y|~(x^z)), x + y
15654477523062164371*(~x&(y&z)) - ~(x|(y^z)) + 2792266550647387247*(x^(y|z)) + 2792266550647387248*(y^~(x|(~y&z))) + 2792266550647387247*(y^~(x&z)) + 15654477523062164369*(~(x|y)|(x^(y^z))) + 15654477523062164369*(y^~(x&(y|z))) + ~(~x&(~y|z)), x + y
-3*~(x|y) + (~(x^y)&(x^z)) - 2*((x&y)^~(x^(~y|z))) + 2*(y^(x|(~y|z))) - 2*~(x|~y) + (~z|(x^y)) + 2*y, x + y
2*((y&z)^~(~x&(y^z))) + 14102053662205492290*(y^(~x|(y|z))) + 14102053662205492292*(y&~(x&z)) + 4344690411504059324*((x&z)^(y|z)) - (x^y) + 14102053662205492292*((x&y)|(x^(y^z))) + 4344690411504059324*~(~x&(y&z)) + 2*(z|~(x|~y)), x + y
(~(x^y)&(x^z)) - (~y&~(x^z)) + 3*((x^y)&(x^z)) - 3*(z^(x&(~y|z))) + (z^~(x|(~y&z))) + (x|z), x + y
2*~(x|(~y|z)) - 2*~y + 3*(~z|~(x^y)) - 2*(y^(~x|(~y&z))) - 4*~(x&~y) + 5*(z|~(x^y)), x + y
2*(z^(x|(~y|z))) - ~(x|(y&z)) - (y^~(~x&(y&z))) + 2*(z|~(x|~y)), x + y
12052792161312413911*(z^(~x|(~y|z))) + 6393951912397137706*(~(x&y)&~(y^z)) + 6393951912397137706*(y&(x|~z)) + ((x&y)|(y^z)) + 12052792161312413912*(y&(x|z)) - ~(x&~y), x + y
-(x^(~y|z)) - (z^(x&~y)) + 2*(z^~(~x|(y&z))) + (y|~(x^z)), x + y
-2*~(x|z) + ~(x|(y&z)) - (y^~(~x&(y&z))) - 2*((x&~y)|(x^(y^z))) + 2*(~y|~(x^z)) + 2*(x|y), x + y
-(z^(x|y)) - ~(y&z) + ((x&y)^(y|~z)) - 2*((x&~y)|(x^(y^z))) + 4*(x|(y^z)), x + y
6806583230079822232*~(y|~z) - 2*(z^(x|(~y&z))) + (y^(x&(~y|z))) - (y^(x&~z)) + 11640160843629729386*((x&z)^(x^(y&z))) + 6806583230079822232*((x&y)|~(y^z)) + 6806583230079822233*(y|(x&~z)) + 6806583230079822232, x + y
(z&~(x&y)) - (~(x|y)|~(x^(y^z))) + (x|(y^z)) + 2*((x&y)|~(y^z)) + ((x&y)^(x^(~y|z))) - 2*(~(x|y)|~(y^z)), x + y
-(y^~(x&(y^z))) + (~(x|~y)|~(x^(y^z))) - (~y|(x^z)) + ~(~x&(~y|z)) - ((x&z)^~(x^(~y&z))) + 2*(~(x^y)|(x^z)), x + y
~z - 2*(y^~(~x|(~y&z))) - 2*(~(x&~y)&~(x^(y^z))) + 2*(~x|(y^z)) - (z^~(x|~y)) + 3*((x|y)&~(y^z)) + y - (~(x|y)|~(y^z)), x + y
2*(~z&~(x^y)) + ((x^y)&(x^z)) - 2*(~(x|~y)|~(x^(y^z))) - (y^~(x|z)) + 2*(y|(x&z)) + (y|~(x^z)), x + y
(~z&~(x^y)) - ((x&y)^~(x^(y&z))) + ((x^y)|(x^z)) + (y&~(x^z)) + (x&y), x + y
-3*(~(x&~y)&(y^z)) - 4*(y^(x|z)) + 6*((x&~y)|(y^z)) - (x^(y|z)) + (~(x&~y)&(x^(y^z))) - ((x&y)|~(y|~z)) + 2*((y&z)|(~x&(y|z))), x + y
-3*~(y|z) + (y^~(~x&(y^z))) + 2*(~(x&y)&~(y^z)) - ((x&y)^(y|~z)) + (z^(x&(y|z))) - 2*(z&~(x&y)) + (x|~z) + (z|(x&~y)), x + y
12297829382473034410*~(x^(y^z)) + 6148914691236517206*(y^~(x|(y^z))) + 6148914691236517205*(y^~(x&(~y|z))) + 6148914691236517205*(x&z) + 12297829382473034411*(~(x^y)|~(x^z)) + 6148914691236517206*((y&z)|(x&(y|z))) + (x|(y&z)), x + y
7181767397208073802*(z^(x|(y|z))) + 4083209279293404013*(x&(y^z)) + 11264976676501477814*(~(x&y)&~(y^z)) + 7181767397208073802*((y&~z)|~(x|(~y&z))) + 4083209279293404013*(y&~(x^z)) + 14363534794416147604*(x&z) + ((x&z)^(x^(y&z))), x + y
(z^~(x&~y)) - 3*(~(x&y)&(y^z)) + ((x&~y)|(y^z)) - 3*((x&z)^(y|z)) - 5*((x&z)|~(y|z)) + 2*(x&(y|z)) + (x|(y^z)) + 4*(~x|(~y|z)), x + y
-~(x&(~y|z)) - ((x|~y)&(x^(y^z))) - ((y&~z)^(x|(y^z))) + 3*(x|(~y&z)) - 2*(x|~y) + ~(~x&(y&z)) + (y|~(x|z)) + (~(x|y)|~(y^z)), x + y
2*(y^(x|(y|z))) + 7986038320042317635*(y&(x^z)) - (~(x|~y)|(y^z)) + 7986038320042317635*(y&~(x^z)) + 10460705753667233984*y - (~(x|~y)|(x^(y^z))), x + y
2*((x|~y)&(y^z)) - 2*(y^(~x|(~y|z))) - (y^(x|(~y&z))) - (y^(x&(y^z))) + 2*(y|~(x^z)) - 3*(z|~(x|~y)) + 4*(z|(x^y)), x + y
9*(y&~(x&z)) - 4*~(x&z) + 6*(x|~y) + 12*(~(x&~y)&~(y^z)) - 11*(y^~(x|z)) - 3*((x&~y)|~(y^z)) - 4*(z|~(x|~y)) + 2*(x|z), x + y
2*~(x|~z) - 3*((x&z)^~(y&~z)) + 2*(z^~(~x&(y|z))) + 2*((x|y)&(x^(y^z))) - ((x&y)|(x^(y^z))) + ~(~x&(y|z)), x + y
~(~x|(y&z)) - ~(y|~z) - (z^(x|(~y&z))) + ~(x&(y&z)) + 2*(x&y) - ~(~x&(y|z)) + ((x&y)^(x^(y&z))), x + y
~(~x|(~y|z)) - (~x&(~y&z)) + ~(x^(y&z)) + 2*(x|(y&z)) - ~(~x&(y^z)), x + y
-(y&~z) - ~(x|(y&z)) - (x^(~y&z)) + x + (z&(x|~y)) + 2*~(x&~y) - 2*(z|~(x|y)) - 1, x + y
-(z^~(x&~y)) - 2*((x&z)|~(y|z)) + 3*~(~x&(y|z)) - (y^~(x|(y&z))) + ~(x&~y) + (y^(x&(y^z))), x + y
8029667107618241599*~(x|z) + 10417076966091310016*~(x|(~y&z)) + (y^(x&(~y|z))) - (y^(x|(y^z))) + (y&(x|~z)) + 10417076966091310016*(y^~(x&(y&z))) + 8029667107618241601*~(y&~z), x + y
((x^y)&~(x^z)) - (y^~(~x&(y^z))) - 3*(y^(x&z)) - 2*(~x|(~y&z)) + 3*(~x|(y^z)) - (x^(~y&z)) + 3*(x|y), x + y
~(x^(y^z)) - (y^~(~x&(y&z))) + ~(~x|(y^z)) + (x|(y|z)), x + y
-24*((x^y)&~(x^z)) + 6*((y&z)^~(~x&(y^z))) + 3*(~(x&y)&~(y^z)) - 2*(~(x|~y)|(y^z)) - 19*(y^~(x&(y|z))) - 6*((y&~z)^(x|(y^z))) + 10*(z^~(x|(~y&z))) + 17*(x|(y^z)), x + y
-2*(z^(~x|(y&z))) - 4*~(x|~z) - 5*(x^y) + 8*(x^(y&z)) - 2*(x&(y|z)) + 2*((x&~y)|(x^(y^z))) + 6*(~x|(y&z)) - 4*(~(x^y)|(x^z)), x + y
12297829382473034411*(z^(~x|(~y|z))) - (y^(x&(y|z))) + 6148914691236517206*((x|~y)&(x^(y^z))) + 12297829382473034410*(~(x&~y)&(x^(y^z))) + 6148914691236517205*((x&y)|~(x^(y^z))) + 12297829382473034413*(y|(x&z)), x + y
-3*(z^(~x|(~y|z))) + 4*(x&~z) + 6*(z^~(x&~y)) + 11*(~x&(y&z)) - 3*(~(x&~y)&~(x^(y^z))) - 2*~(x&(y|z)) - 5*((x|y)&~(x^(y^z))) + 2*(y^~(x&z)), x + y
14757395258967641296*((x|~y)&(y^z)) + 14757395258967641291*(z^(x&(y|z))) + 11068046444225730970*(y^(x&(y|z))) + 7378697629483820645*(y^(x&(~y|z))) + 14757395258967641293*(y^~(~x&(y&z))) + 3689348814741910323*(y^(~x&(~y|z))) + 7378697629483820645*(x|(y^z)) + 7378697629483820650*(y|(x&~z)), x + y
14757395258967641290*(y&~z) + 11068046444225730970*~(x|(~y&z)) + 14757395258967641292*((x&~y)|~(x^(y^z))) + 11068046444225730971*((x^y)|(x^z)) + 11068046444225730970*(z^~(x&y)) + 14757395258967641294*(y^~(x|~z)) + 3*((x&z)|(y&~z)) + 11068046444225730967*(z^~(x|~y)), x + y
12297829382473034410*(y^(x|(y&z))) + 12297829382473034412*(y^(x&z)) + 6148914691236517207*~(~x|(y^z)) + 12297829382473034411*((x&y)|~(y|z)) + 6148914691236517205*~(x^(y|z)) + 6148914691236517206*((x&z)|(y&~z)) + 6148914691236517205*(y^(x&~z)), x + y
14757395258967641294*(z^(~x|(~y|z))) - 2*(y^(x|(~y&z))) + 14757395258967641292*(z^~(x&y)) + 3689348814741910323*((x&y)|(y^z)) + 14757395258967641293*(y&~(x&~z)) + 7378697629483820646*(y^~(x|(y&z))) + 7378697629483820647*(z&(x|y)) + 7378697629483820649*(x|(y|z)), x + y
2*~(~x|(~y|z)) - ((y&z)^~(~x&(y^z))) + (x|~z) + (y|(x&~z)) - (y|(x^z)) + (z|(x&~y)), x + y
-4*(z^(x|(~y|z))) - (y^~(~x&(~y&z))) + ((x&z)^(x^(~y&z))) + (y^(~x|(~y|z))) + (~(x&~y)&(x^(y^z))) + 4*((x&y)|~(y^z)) - 3*(z&~(x&~y)), x + y
4332369790368495365*(z^(~x|(~y|z))) + 14114374283341056250*((x&y)^(y|z)) + (x|~z) + 14114374283341056250*(y^(~x|(y^z))) + 4332369790368495366*((x|y)&~(y^z)) + 9782004492972560884*((x&z)^(x^(y&z))) + (y|(x&~z)) + 8664739580736990732*(z|(x&y)), x + y
~(~x&(~y|z)) + (y&(x|z)), x + y
12297829382473034412*(z^(x|(y&z))) + 6148914691236517207*((x|y)&(y^z)) + 12297829382473034410*(x^(y|z)) + 12297829382473034411*((y&~z)^(x|(y^z))) + 6148914691236517208*(y&z) - (z|(x&y)), x + y
((x|y)&(x^(y^z))) - (y^~(x&z)) + x + (y^~(x|(y&z))), x + y
3*(~(x&y)&(x^(y^z))) + (y^(~x&(y|z))) - 2*((x&y)|~(y^z)) + 2*(y|~(x|z)) + ((y&z)|(x&(y|z))) + 4*((x&y)|~(x^(y^z))) - 4*(~x|(y|z)), x + y
(z^(x|(~y|z))) + 2*(z^(~x&(y|z))) - ~(x^(~y|z)) + 2*((x&z)^(x^(y&z))) - ((x&y)|~(y^z)), x + y
-2*(z^(~x|(y|z))) - 4*~(x|(y&z)) + 3*(y^~(~x&(y^z))) + 5*(~(x|y)|(y^z)) + 9*~(x&(y|z)) - 10*~(x&y) - ((x&y)|~(y^z)) + 3*(z&(x|y)), x + y
-2*(z^(~x|(y|z))) + (z^(x|y)) + ~(x|(~y&z)) - 2*(z^(x&(~y|z))) + (z^(x&~y)) - 2*((x^y)|~(x^z)) + 3*~(~x&(~y&z)), x + y
-(z^(x|(~y|z))) + 2*(z^(~x|(y|z))) - 2*(z^(x&(~y|z))) - (~(x&~y)&(x^(y^z))) - (y&~(x&~z)) + 3*(z^(x&~y)) + 2*(x|y) - ~(~x&(~y&z)), x + y
5237765885007851492*~(y|~z) + 13208978188701700124*(z^~(~x|(~y&z))) + 13208978188701700124*(z^(~x&(y|z))) + 10475531770015702986*~(~x&(~y|z)) + 13208978188701700123*(x|~z) + 13208978188701700124*(x|(y^z)) + (y^~(x|z)) + 13208978188701700124, x + y
-(y^(x|(y|z))) - (y^~(x&(~y|z))) + ((x&y)|~(y|~z)) + (x|(~y&z)) + (~(x|~y)|~(y^z)), x + y
15557681973236018233*~(x|(y&z)) + 2889062100473533381*(z^(x|(y&z))) + 2889062100473533380*(z^(~x|(~y&z))) + 15557681973236018236*(z^~(x&(y&z))) + (~(x&~y)&(x^(y^z))) + 15557681973236018234*(z|(x&y)) + 2889062100473533383*(~x|(y|z)), x + y
-2*(~(x&y)&~(y^z)) - 2*(z&(x^y)) - 2*(x^(y^z)) - ((x&y)|(y^z)) + 2*(y|(x&~z)) + 2*~(x&(y^z)) - 3*(z^~(~x|(y&z))) + 4*(x|z), x + y
15575648487726668977*(y^~(x&(~y&z))) + 15575648487726668978*(~(x&y)&(y^z)) + 12704552901743786341*((x&y)|~(y|z)) + 5742191171965765276*(~z|~(x^y)) + 2871095585982882637*((x&z)|~(y|z)) + 15575648487726668979*~(x^(~y|z)) + 15575648487726668978*(y^~(x|(y&z))) + 2871095585982882639*(x|(~y|z)), x + y
2096815139236435135*~(~x|(y|z)) + 16349928934473116478*(~x&(~y&z)) + (y^(~x|(~y|z))) + 2096815139236435135*(~x&(y&z)) + 3*(~(x&~y)&(x^(y^z))) + 2096815139236435133*~(x^(y&z)) + 16349928934473116481*(~(x|~y)|~(y^z)) + (y^~(x|(y&z))), x + y
6148914691236517206*(z^(x|y)) + 12297829382473034410*(x&~y) + 6148914691236517206*(y^(~x|(~y|z))) + 12297829382473034410*(x^(y|z)) - ((x|y)&~(x^(y^z))) + 12297829382473034410*(y^(~x|(y^z))) + (y^~(~x|(y&z))) + 6148914691236517207*((y&z)|(x&(y|z))), x + y
2*(y^~(~x&(~y&z))) - (~(x|y)|(y^z)) - 2*(y^~(~x&(y&z))) + 3*(~(x|~y)|(y^z)) + 3*(~(x^y)&~(x^z)) - 2*~(x^z) + ~(x^(~y|z)), x + y
2*(x^(y|z)) - 3*(y^(x|(y^z))) - ((x&y)|~(y|z)) - (~z|~(x^y)) + 2*x + 2*(x|(~y|z)), x + y
-3*(y^(x|~z)) - 2*~(x&y) + 3*(~y|(x^z)) - ~(x^y) + 3*((x^y)|~(x^z)), x + y
9488602104692108042*(y^(~x|(y&z))) + (z^~(~x&(y&z))) + 8958141969017443573*(z^~(~x&(y|z))) + 4744301052346054021*~(x&y) + 4744301052346054022*~(~x|(~y&z)) + ((x&y)|~(y|~z)) + 8958141969017443573*(~(x^y)|~(x^z)) + 4744301052346054022*(~x|(y|z)), x + y
3*(~z|(x^y)) - 4*(~x|(y^z)) + ~(x^(~y|z)) - (x|~z) - 2*((x^y)|~(x^z)) + 4*(~x|(y|z)), x + y
5270498306774157605*((x&z)^(x^(~y&z))) - (~z|(x^y)) + 15811494920322472814*((y&~z)|~(~x|(~y&z))) + 15811494920322472814*~(x^(~y|z)) + 5270498306774157604*((x&y)|(y^z)) + 7905747460161236406*(~(x|~y)|(x^(y^z))) + ~(x&~y) + 10540996613548315211*(x|y), x + y
-(z^(x|(y&z))) + 2*(z^(x|~y)) + ((x&z)|(y&~z)) + 2*(z&(x|~y)) + (z&~(x&~y)) - 2*(z|~(x|y)), x + y
-~(~x|(y^z)) + 2*(~(x&~y)&(x^(y^z))) + 2*~(x^z) + x - 3*(z^~(x|(~y&z))) + (x|(~y|z)), x + y
12297829382473034414*(y^~(x&(y^z))) + 12297829382473034410*(y^~(~x&(y^z))) + 12297829382473034410*(~(x&y)&(y^z)) + 12297829382473034413*(~(x^y)&~(x^z)) + 12297829382473034412*(y&(x|~z)) - 5*(y^~(x&(y|z))) + 12297829382473034413*(x|(~y&z)) + (y^(x&~z)), x + y
2*(z^(x|(y|z))) - 2*~(y|~z) - 2*(y^~(~x|(~y&z))) + 2*~(x|~z) + (x^y) + 2*(x&z), x + y
-~(x|(y|z)) - (z^(~x|(~y|z))) + 2*(~y&~(x^z)) - ~y + (x^(y^z)) - ((x&z)^~(x^(~y&z))) + 2*(y|~z), x + y
2*(z^~(x&~y)) - 5*(z^~(~x&(y|z))) - 4*(z^(~x&(y|z))) + 3*(~(x|~y)|~(y^z)) - 2*((x&y)^(x^(y&z))) + 5*(x|z), x + y
-(y^(~x|(y&z))) + 12297829382473034410*(z^~(~x&(~y&z))) + 12297829382473034410*(x^z) + 3*~(x&z) - (~(x|~y)|~(x^(y^z))) + 6148914691236517208*(x&(y|z)) + 6148914691236517205*(y^~(x&(y&z))) + 6148914691236517205*(x|(y|z)), x + y
12297829382473034411*(y^(~x|(y|z))) + ((x&z)^(x^(~y&z))) + 6148914691236517206*((x^y)&(x^z)) + 6148914691236517206*(z^~(~x&(y&z))) - ~(x&y) + 6148914691236517207*(y&~(x^z)) + 6148914691236517205*((x&y)|(x^(y^z))) + 6148914691236517206*((y&z)|(x&(y|z))), x + y
(x^y) + 2*(y^(~x&(y|z))) + 2*(y&z) - 2*(z&~(x&~y)), x + y
-2*~(y|z) - (z^(~x|(y|z))) + 2*(~y&(x^z)) + ~(y&z) + (y^~(x|(y^z))) + 4*(y^~(x|z)) - 3*(y^~(x|(y&z))), x + y
4*~(~x|(~y|z)) - 2*~(x&(~y|z)) + (y^~(~x&(y|z))) - ((x&y)|~(y|z)) + (~(x|y)|(x^(y^z))) + y + ((x&y)^(x^(~y|z))), x + y
-2*~(x|y) + (y&~(x^z)) - 3*((x&y)^(x^(y&z))) + 2*~(~x&(y^z)) + 2*(z|(x&~y)), x + y
-2*((y&z)^~(x&(y^z))) + 2*((x&z)^(x^(~y&z))) - (z^(x|(~y&z))) - 2*(~(x&y)&~(x^(y^z))) + (~(x|~y)|~(x^(y^z))) - ((y&~z)^(x|(y^z))) + 2*(~(x|~y)|~(y^z)) + ~(y&~z), x + y
10303465509375136361*(z^(~x|(y|z))) + 14126370183628109404*(~x&(y|z)) + 12463652454415857467*(x^z) + 8143278564334415256*~(x^(y^z)) + 3*(z^~(x|~y)) + 16286557128668830509*(x|~y) + 8143278564334415257*((x&y)|~(y^z)) + 12463652454415857465*~(x&~z), x + y
