# x + y
2*~(x|~y) - (x^y) + 2*x, x + y
11505001400386655792*(x&y) + 6941742673322895825*x + 6941742673322895825*y + 11505001400386655792*(x|y), x + y
14571755064801604426*(x&~y) - ~(x|~y) + 14571755064801604427*y + 3874989008907947191*(x|y), x + y
15097165529319548863*~(x|y) + ~(x&y) + 15097165529319548866*(x&y) + 3349578544390002752*~(x^y), x + y
-3*~(x|y) + 2*~y - ~(x&y) + 2*~(x&~y), x + y
4754568499229759837*(x^y) + 4754568499229759838*(x&y) + 13692175574479791780*(x|y), x + y
17058470327292839276*~(x|~y) + (x^y) + 17058470327292839278*(x&y) + 1388273746416712340*y, x + y
4613714008277642833*~(x|y) + 4613714008277642834*x + 13833030065431908783*(x|~y) + y, x + y
13213107541739164206*(x&~y) + x + 13213107541739164207*y + 5233636531970387410*(x|y), x + y
-2*~(x|y) + 16966910680977575956*(x^y) + 16966910680977575957*~(x^y) + 16966910680977575955, x + y
6228660547978227811*~y + 12218083525731323804*(x^y) + 12218083525731323805*(x|~y) + 6228660547978227813*(x|y), x + y
15029655360179522984*(x&~y) + 15029655360179522984*~(x|~y) + 3417088713530028631*(x^y) + 2*(x|y), x + y
3684496473011192867*~x + 14762247600698358748*(x^y) + 14762247600698358749*~(x&~y) + 3684496473011192869*(x|y), x + y
9657407238621864759*~(x&y) + 9657407238621864761*(x&y) - ~(x^y) + 9657407238621864758, x + y
7208490045455504968*~x + 7208490045455504969*x + y + 7208490045455504968, x + y
8292974479774587750*~(x|~y) + 8292974479774587751*x + y + 10153769593934963866*(x|y), x + y
3198774492397228522*(x&~y) + 15247969581312323093*(x^y) + 15247969581312323094*x + 3198774492397228524*(x|y), x + y
13810368307009265089*(x^y) + 13810368307009265090*(x&y) + 4636375766700286528*(x|y), x + y
12047885584520568922*~(x|y) + 12047885584520568923*(x^y) + 12047885584520568924*(x&y) + 12047885584520568922, x + y
7540370098049927386*(x^y) + 7540370098049927387*(x&y) + 10906373975659624231*(x|y), x + y
13328023312423612340*~(x|y) + x + 13328023312423612341*y + 5118720761285939276*~(x&~y), x + y
5311341830326599623*~(x|y) + 13135402243382951991*~(x&y) + 13135402243382951992*~(x^y) + 13135402243382951990, x + y
13334237288234312171*(x&y) + 5112506785475239446*x + 5112506785475239446*y + 13334237288234312171*(x|y), x + y
15996207814173382833*~x + 15996207814173382834*(x&y) + 2450536259536168783*~(x&~y) + (x|y), x + y
(x&~y) + 2*(x&y) - ~(x^y) + ~(x&~y), x + y
15849293057331514369*~y + 15849293057331514370*(x&y) + 2597451016378037247*(x|~y) + (x|y), x + y
-2*~x - ~(x^y) + 2*~(x&~y) - 1, x + y
4460273019847918292*(x^y) + 13986471053861633325*~(x&y) + 13986471053861633327*(x&y) + 4460273019847918291*~(x^y), x + y
17303175144106808456*~x + 17303175144106808457*(x&y) + 1143568929602743160*~(x&~y) + (x|y), x + y
12518394914989962994*~(x|~y) + 12518394914989962994*(x&y) + x + 5928349158719588623*y, x + y
9475832134146695187*(x&~y) + 9475832134146695187*(x&y) + 8970911939562856430*x + y, x + y
13754962806375512615*(x&~y) + 13754962806375512615*~(x|~y) + 13754962806375512616*(x&y) + 4691781267334039002*(x|y), x + y
891914580784294632*(x^y) + 891914580784294633*(x&y) + 17554829492925256985*(x|y), x + y
6667180172063150924*~x + (x^y) + 6667180172063150926*(x&y) + 11779563901646400692*~(x&~y), x + y
17731153477259610167*~y + (x^y) + 17731153477259610169*(x&y) + 715590596449941449*(x|~y), x + y
10368011219633438479*~y + 10368011219633438480*(x&y) + 8078732854076113137*(x|~y) + (x|y), x + y
2449279105387754513*(x&~y) - ~(x|~y) + 2449279105387754514*y + 15997464968321797104*(x|y), x + y
346018103821384896*~(x|y) + x + 346018103821384897*y + 18100725969888166720*~(x&~y), x + y
13549346162153827009*~(x&y) + 8651948250598102403*(x&y) + 4897397911555724607*~(x^y) + 4897397911555724608*(x|y), x + y
11951246874380456240*(x&~y) + 11951246874380456240*~(x|~y) + 6495497199329095375*(x^y) + 2*(x|y), x + y
4602440230372511283*~(x|~y) + 13844303843337040332*(x^y) + 13844303843337040333*y + 4602440230372511285*(x|y), x + y
(x&~y) + 6091299456191007781*~(x|~y) + 6091299456191007782*(x&y) + 12355444617518543836*y, x + y
3380863215629417415*(x&~y) - (x^y) + 3380863215629417415*y + 15065880858080134203*(x|y), x + y
17549884445616338957*(x^y) + 17549884445616338958*(x&y) + 896859628093212660*(x|y), x + y
16636088853026121156*~(x|y) + 16636088853026121157*(x^y) + 16636088853026121158*(x&y) + 16636088853026121156, x + y
4096305733739566329*(x&~y) + 4096305733739566331*~(x|~y) + 14350438339969985286*(x^y) + 2*x, x + y
10304126942993857727*~y + 10304126942993857728*(x&y) + 8142617130715693889*(x|~y) + (x|y), x + y
6771613591703621759*(x^y) + 15060937277857740736*~(x&y) + 3385806795851810880*~(x^y) + 15060937277857740738*(x|y), x + y
2906957470796093470*(x&y) + 15539786602913458147*~(x^y) + 15539786602913458148*(x|y) + 15539786602913458147, x + y
6743150793527231558*~(x|y) + 6743150793527231559*(x^y) + 6743150793527231560*(x&y) + 6743150793527231558, x + y
1211427627252860288*~x + 1211427627252860289*(x&y) + 17235316446456691328*~(x&~y) + (x|y), x + y
5013367617239643720*~y - ~x + 5013367617239643721*y + 5013367617239643719, x + y
5930599020717174301*(x&~y) + (x&y) + 5930599020717174301*y + 12516145052992377316*(x|y), x + y
12151935073054937266*(x&~y) + ~(x|~y) + 12151935073054937267*(x&y) + 6294809000654614351*x, x + y
3332989349481700984*~(x|y) + 15113754724227850632*~(x&y) + 15113754724227850633*(x&y) + 3332989349481700985*(x|y), x + y
12730020301995369538*~(x|y) + 12730020301995369539*(x&y) + 5716723771714182078*~(x^y) + (x|y), x + y
9642815666228322150*~(x|~y) + 4401964203740614733*(x^y) + 14044779869968936884*x + 4401964203740614734*y, x + y
10594911166213879356*(x&~y) + 10594911166213879356*~(x|~y) + 10594911166213879357*(x&y) + 7851832907495672261*(x|y), x + y
9107404694817551722*(x&~y) + x + 9107404694817551723*y + 9339339378891999894*(x|y), x + y
12436146398002849199*~(x|~y) + 12436146398002849200*(x&y) + 6010597675706702417*y + (x|y), x + y
3283281925306366521*~(x|y) + 3283281925306366522*(x&y) + 15163462148403185095*~(x^y) + (x|y), x + y
278736959393745128*(x^y) + 278736959393745129*(x&y) + 18168007114315806489*(x|y), x + y
15444775738020450682*~(x|~y) + 15444775738020450682*(x&y) + x + 3001968335689100935*y, x + y
-~y - ~x + 2*~(x&y) + 2*(x&y), x + y
-2*~(x|y) + 15365917819545966058*(x^y) + 15365917819545966059*~(x^y) + 15365917819545966057, x + y
10706183224594523570*(x^y) + 10706183224594523571*(x&y) + 7740560849115028047*(x|y), x + y
5476918313222172628*~(x&y) + 5476918313222172630*(x&y) - ~(x^y) + 5476918313222172627, x + y
5597391532760700390*(x^y) + 5597391532760700391*(x&y) + 12849352540948851227*(x|y), x + y
694091893183982079*(x^y) + 694091893183982080*(x&y) + 17752652180525569538*(x|y), x + y
776223500883290678*(x&~y) + 8835260286413130469*(x^y) + 8835260286413130470*x + 9611483787296421148*y, x + y
11717161963312579429*~(x|y) + x + 11717161963312579430*y + 6729582110396972187*~(x&~y), x + y
5723814295060381249*x + 12722929778649170368*(x|~y) + 12722929778649170369*y + 5723814295060381248*~(x&~y), x + y
14124277862470038748*~(x|~y) + 4322466211239512867*(x^y) + 4322466211239512868*y + 14124277862470038750*(x|y), x + y
-(x&~y) + 13412477149916231881*~(x|~y) + 13412477149916231882*x + 5034266923793319736*(x|y), x + y
-2*~y - ~(x|~y) - ~(x&~y) - 3, x + y
14414571556816635988*(x^y) + 14414571556816635989*(x&y) + 4032172516892915629*(x|y), x + y
13021117643144934298*(x^y) + 13021117643144934299*x + 13021117643144934299*y + 10851252861129234636*(x|y), x + y
15573067525640914804*(x&~y) + ~(x|~y) + 15573067525640914805*(x&y) + 2873676548068636813*x, x + y
4613264379970393372*~(x&y) + 4613264379970393374*(x&y) - ~(x^y) + 4613264379970393371, x + y
3245439802672740172*~(x|y) + 3245439802672740175*(x^y) + 15201304271036811442*~(x&y) + 2*~(x^y), x + y
15914324594700767883*(x^y) + 15914324594700767884*(x&y) + 2532419479008783734*(x|y), x + y
4738301163551058873*~(x&y) + 4738301163551058875*(x&y) - ~(x^y) + 4738301163551058872, x + y
6044770716731996516*(x&y) + 12401973356977555101*x + 12401973356977555101*y + 6044770716731996516*(x|y), x + y
235174698835849487*~(x|y) + 235174698835849489*x + 18211569374873702128*(x|~y) + ~(x&~y), x + y
12267387069957316225*(x^y) + 12267387069957316226*(x&y) + 6179357003752235392*(x|y), x + y
15822056027786549282*(x^y) + 13197367981863546948*(x&y) + 2624688045923002335*x + 2624688045923002335*y, x + y
4676814385863124375*~y + (x^y) + 4676814385863124377*(x&y) + 13769929687846427241*(x|~y), x + y
(x^y) + 11276160253150075594*~(x&y) + 11276160253150075596*(x&y) + 11276160253150075594, x + y
9246551853701933413*~(x|y) + 9246551853701933412*(x^y) + 9200192220007618203*~(x&y) + 2*(x|y), x + y
2624801734870495484*~(x|y) + 2624801734870495485*x + 15821942338839056132*(x|~y) + y, x + y
14094249057351406890*(x&~y) + 4352495016358144727*(x^y) + 4352495016358144728*(x&y) + 14094249057351406890*y, x + y
16471015571995222005*~(x|y) + 16471015571995222006*(x&y) + 1975728501714329611*~(x^y) + (x|y), x + y
4791734894010526637*~(x|~y) + 4791734894010526637*(x&y) + x + 13655009179699024980*y, x + y
3529311229725590233*(x&~y) + 3529311229725590231*~(x|~y) + 14917432843983961384*(x^y) + 2*y, x + y
3481766256833478330*(x&~y) + 3481766256833478330*~(x|~y) + 14964977816876073285*(x^y) + 2*(x|y), x + y
13364380362172773865*~(x|y) + 11764553892623164683*~(x&y) + 11764553892623164684*~(x^y) + 6682190181086386934*(x|y), x + y
9875865234347042939*x + 8570878839362508678*(x|~y) + 8570878839362508679*y + 9875865234347042938*~(x&~y), x + y
1028429600319554544*(x^y) + 1028429600319554545*(x&y) + 17418314473389997073*(x|y), x + y
7191641767450074677*(x&~y) + 11255102306259476939*~(x|~y) + 11255102306259476940*x + 7191641767450074678*y, x + y
12067212585407097720*(x^y) + 12067212585407097721*(x&y) + 6379531488302453897*(x|y), x + y
936303195007329140*(x^y) + 936303195007329141*(x&y) + 17510440878702222477*(x|y), x + y
2067293024151873532*~(x|~y) + (x^y) + 2067293024151873534*(x&y) + 16379451049557678084*y, x + y
16710623275002263523*~x + 16710623275002263524*x + y + 16710623275002263523, x + y
10735970543428834579*~(x|y) + 10735970543428834580*(x&y) + 7710773530280717037*~(x^y) + (x|y), x + y
18170424940164561480*(x^y) + 2*(x&y) + 18170424940164561479*~(x^y) + 18170424940164561479, x + y
2970198549441325455*(x^y) + 7738272762134113080*~(x&y) + 10708471311575438536*~(x^y) + 7738272762134113082*(x|y), x + y
6530862577292307740*(x&~y) + 15181312785063397746*(x^y) + 15181312785063397747*x + 3265431288646153871*y, x + y
-(x&~y) + 9927244465209883029*~(x|~y) + 9927244465209883030*x + 8519499608499668588*(x|y), x + y
2509858018190541574*(x&~y) + x + 2509858018190541575*y + 15936886055519010042*(x|y), x + y
3655018876354854402*~(x|~y) + 7395862598677348607*(x^y) + 11050881475032203010*x + 7395862598677348608*y, x + y
6230933196576489896*(x^y) + 6230933196576489897*(x&y) + 12215810877133061721*(x|y), x + y
13784542531690287830*(x&~y) + 13784542531690287830*(x&y) + 4662201542019263787*x + y, x + y
2767630688128635773*(x&~y) + 2767630688128635775*~(x|~y) + 15679113385580915842*(x^y) + 2*x, x + y
12267207285738733836*(x&~y) + x + 12267207285738733837*y + 6179536787970817780*(x|y), x + y
16852268804409510601*~(x|~y) + 1594475269300041014*(x^y) + 1594475269300041015*y + 16852268804409510603*(x|y), x + y
11743140012815335548*(x^y) - 2*~(x&y) + 11743140012815335547*~(x^y) + 11743140012815335545, x + y
13221015887247939717*~(x|y) + 13221015887247939718*x + 5225728186461611899*(x|~y) + y, x + y
-2*~(x|y) + 13590253460207692836*(x^y) + 13590253460207692837*~(x^y) + 13590253460207692835, x + y
4918886448038001829*~(x|~y) + 13527857625671549786*(x^y) + 13527857625671549787*y + 4918886448038001831*(x|y), x + y
3504105827800584434*~x + 14942638245908967181*(x^y) + 14942638245908967182*~(x&~y) + 3504105827800584436*(x|y), x + y
-(x&~y) + 17290130385096107733*~(x|~y) + 17290130385096107734*x + 1156613688613443884*(x|y), x + y
15470925927347532369*~(x&y) + 12495107780985513123*(x&y) + 2975818146362019247*~(x^y) + 2975818146362019248*(x|y), x + y
-(x&~y) + 3650597349331701850*~(x|~y) + 3650597349331701851*x + 14796146724377849767*(x|y), x + y
775536295520455410*(x&~y) + 775536295520455412*~(x|~y) + 17671207778189096205*(x^y) + 2*x, x + y
-~y + 6137589854284454726*~x + 6137589854284454727*x + 6137589854284454725, x + y
310914770711915277*~(x|y) + 310914770711915278*(x^y) + 18135829302997636339*~(x&y) + 2*(x&y), x + y
11919220266629085553*(x^y) + 11919220266629085554*(x&y) + 6527523807080466064*(x|y), x + y
8219806869351621081*~(x|y) + 8219806869351621084*(x^y) + 10226937204357930533*~(x&y) + 2*~(x^y), x + y
8246853365107770410*(x&y) + 10199890708601781207*x + 10199890708601781207*y + 8246853365107770410*(x|y), x + y
10790447479972097370*(x&~y) + 10790447479972097370*~(x|~y) + 10790447479972097371*(x&y) + 7656296593737454247*(x|y), x + y
14915098704324028484*~y + x + 14915098704324028485*y + 14915098704324028484, x + y
9952183438747993120*~(x&y) + 9952183438747993122*(x&y) - ~(x^y) + 9952183438747993119, x + y
6971966124047830327*~(x&y) + 13943932248095660655*(x&y) + 11474777949661721289*~(x^y) + 11474777949661721290*(x|y), x + y
10672911807753595089*(x&~y) + 7773832265955956528*(x^y) + 7773832265955956529*(x&y) + 10672911807753595089*y, x + y
-~(x|y) + 17179150686507407477*~(x&y) + 17179150686507407478*(x&y) + 17179150686507407476, x + y
6795360901347763076*(x^y) + 6795360901347763077*(x&y) + 11651383172361788541*(x|y), x + y
15887448126030381479*(x^y) + 15887448126030381480*(x&y) + 2559295947679170138*(x|y), x + y
15045662797187113425*~(x|y) + 10923912675115994903*~(x&y) + 10923912675115994904*~(x^y) + 7522831398593556714*(x|y), x + y
6732663442259263191*~x + (x^y) + 6732663442259263193*(x&y) + 11714080631450288425*~(x&~y), x + y
361089423570604338*~(x|y) + (x^y) + 361089423570604340*(x&y) + 18085654650138947278*~(x^y), x + y
(x^y) + 7825720927569013012*~(x&y) + 7825720927569013014*(x&y) + 7825720927569013012, x + y
712449501473695118*(x&~y) - (x^y) + 712449501473695118*y + 17734294572235856500*(x|y), x + y
7821876251641067958*~y + (x^y) + 7821876251641067960*(x&y) + 10624867822068483658*(x|~y), x + y
-(x&~y) + 12996696831230715752*~(x|~y) + 12996696831230715753*x + 5450047242478835865*(x|y), x + y
14410413182069546390*(x&~y) + 2018165445820002613*(x^y) + 2018165445820002614*x + 16428578627889549004*y, x + y
17621656388515013285*~(x|~y) + 825087685194538330*(x^y) + 825087685194538331*y + 17621656388515013287*(x|y), x + y
-~(x|y) - ~(x|~y) + y - 1, x + y
12083260584868331316*(x^y) + 12083260584868331317*(x&y) + 6363483488841220301*(x|y), x + y
9624860155280751544*~(x&y) + 9624860155280751545*~(x^y) + 9624860155280751546*(x|y) + 802976236851951473, x + y
6707356219200641688*~(x|~y) + 6707356219200641689*x + y + 11739387854508909928*(x|y), x + y
13060136627295290199*(x&~y) + 5386607446414261416*(x^y) + 5386607446414261417*x + 13060136627295290201*(x|y), x + y
11161777338825109609*(x^y) + 11161777338825109610*(x&y) + 7284966734884442008*(x|y), x + y
-~y - (x&y) + 2*x + ~(x&~y), x + y
6639276722309359621*~y + 11807467351400191994*(x^y) + 11807467351400191995*(x|~y) + 6639276722309359623*(x|y), x + y
-~y + 13012301026825435186*~x + 13012301026825435187*x + 13012301026825435185, x + y
6554017061885264639*(x^y) + 6554017061885264640*(x&y) + 11892727011824286978*(x|y), x + y
15038271118894606713*(x^y) - 2*~(x&y) + 15038271118894606712*~(x^y) + 15038271118894606710, x + y
4651782885459698303*(x&~y) - (x^y) + 4651782885459698303*y + 13794961188249853315*(x|y), x + y
10316340438709754520*~(x|y) + 10316340438709754521*(x^y) + 8130403634999797096*~(x&y) + 2*(x&y), x + y
2533584005337490506*(x&~y) + x + 2533584005337490507*y + 15913160068372061110*(x|y), x + y
15783391557723480986*(x^y) + 15783391557723480987*(x&y) + 2663352515986070631*(x|y), x + y
-~y + 15865900452336356820*~x + 15865900452336356821*x + 15865900452336356819, x + y
14120189126330977534*(x&~y) + x + 14120189126330977535*y + 4326554947378574082*(x|y), x + y
11697892717799168075*~(x|y) - ~(x&y) + 11697892717799168076*(x|y) + 11697892717799168074, x + y
6206885699071566454*(x&~y) + 12239858374637985161*(x^y) + 12239858374637985162*x + 6206885699071566456*(x|y), x + y
5522351231476748229*~(x|y) + ~(x^y) + 5522351231476748231*(x|y) + 5522351231476748230, x + y
-~y + 9568767068406304138*~x + 9568767068406304139*x + 9568767068406304137, x + y
5845177610042658156*~(x&y) + 5845177610042658157*(x&y) + (x|y) + 5845177610042658156, x + y
11212465723968872765*~(x|y) + 11212465723968872766*(x^y) + 7234278349740678849*~(x&y) - 2, x + y
11181893625792432626*~(x|y) + 7264850447917118990*~(x&y) + 7264850447917118991*(x&y) + 11181893625792432627*(x|y), x + y
10783520735777501465*~(x|y) + 7663223337932050149*~(x&y) + 7663223337932050150*~(x^y) + 7663223337932050148, x + y
17725384896744431018*(x&~y) + 17725384896744431018*~(x|~y) + 721359176965120597*(x^y) + 2*(x|y), x + y
11395389552813067558*~y - ~x + 11395389552813067559*y + 11395389552813067557, x + y
10107427075756050968*(x^y) + 10107427075756050969*(x&y) + 8339316997953500649*(x|y), x + y
5110154324067530014*(x^y) + 5110154324067530015*(x&y) + 13336589749642021603*(x|y), x + y
16838417097875926172*~(x|y) + 16838417097875926173*x + 1608326975833625444*(x|~y) + y, x + y
-~y + 17363417327097922763*~x + 17363417327097922764*x + 17363417327097922762, x + y
17184468224348919236*(x&~y) + 17184468224348919236*(x&y) + 1262275849360632381*x + y, x + y
8947254479916736198*(x^y) + 8947254479916736199*(x&y) + 9499489593792815419*(x|y), x + y
9833410077659983985*~(x|y) + x + 9833410077659983986*y + 8613333996049567631*~(x&~y), x + y
2946181459770631007*(x&~y) - (x^y) + 2946181459770631007*y + 15500562613938920611*(x|y), x + y
5726235949664250278*~(x|y) + 5726235949664250279*x + 12720508124045301338*(x|~y) + y, x + y
8323665212399150409*(x^y) + 8323665212399150410*(x&y) + 10123078861310401208*(x|y), x + y
9062719634378470392*(x&~y) + 9062719634378470392*(x&y) + 9384024439331081225*x + y, x + y
14337493124373138824*~y + 4109250949336412792*~x + 4109250949336412793*x + 14337493124373138825*y, x + y
-2*~(x|y) + 4508422858187184228*(x^y) + 4508422858187184229*~(x^y) + 4508422858187184227, x + y
4944106432098474210*(x&~y) + 13502637641611077406*~(x|~y) + 13502637641611077407*x + 4944106432098474211*y, x + y
9151965736540755892*~(x|y) + 9294778337168795724*~(x&y) + 9294778337168795725*(x&y) + 9151965736540755893*(x|y), x + y
(x&~y) + 9915049268534252637*~(x|~y) + 9915049268534252638*(x&y) + 8531694805175298980*y, x + y
3191733865084187480*(x^y) - 2*~(x&y) + 3191733865084187479*~(x^y) + 3191733865084187477, x + y
3293729396667671002*~(x&y) + 3293729396667671003*~(x^y) + 3293729396667671004*(x|y) + 6587458793335342005, x + y
13031773693644859508*(x&~y) + 13031773693644859509*(x&y) + 5414970380064692108*x + (x|y), x + y
8942832505924187126*~(x&y) + 8942832505924187128*(x&y) - ~(x^y) + 8942832505924187125, x + y
136013530210685614*~(x&y) + 136013530210685615*~(x^y) + 136013530210685616*(x|y) + 272027060421371229, x + y
9277174838082501219*~(x|y) + 9277174838082501222*(x^y) + 9169569235627050395*~(x&y) + 2*~(x^y), x + y
16423609201617516122*~(x&y) + 16423609201617516123*~(x^y) + 16423609201617516124*(x|y) + 14400474329525480629, x + y
(x&~y) + 2914002468845884684*~(x|~y) + 2914002468845884685*(x&y) + 15532741604863666933*y, x + y
4632538528649518107*~(x&y) + 4632538528649518108*(x&y) + (x|y) + 4632538528649518107, x + y
11752758738988526246*(x&~y) + 11752758738988526246*~(x|~y) + 6693985334721025371*(x^y) + 2*(x&y), x + y
18413162235274077646*~(x|~y) + 9240162956072512793*(x^y) + 9206581117637038824*x + 9240162956072512794*y, x + y
7155170243597590803*(x^y) + 7155170243597590804*(x&y) + 11291573830111960814*(x|y), x + y
14802404232379714593*(x^y) + 14802404232379714594*(x&y) + 3644339841329837024*(x|y), x + y
9754825063723245629*(x&~y) + (x&y) + 9754825063723245629*y + 8691919009986305988*(x|y), x + y
(x&~y) + 11539714407027844665*~(x|~y) + 11539714407027844666*(x&y) + 6907029666681706952*y, x + y
11160305890209846435*~(x|~y) + 11160305890209846436*(x&y) + 7286438183499705181*y + (x|y), x + y
7520875868273209167*(x^y) + 7520875868273209168*(x&y) + 10925868205436342450*(x|y), x + y
7480191432477534133*~(x|y) + 7480191432477534136*(x^y) + 10966552641232017481*~(x&y) + 2*~(x^y), x + y
12349957126207250491*(x^y) + 2*(x&y) + 12349957126207250490*~(x^y) + 12349957126207250490, x + y
17761043554409017671*~(x|y) + 17761043554409017672*(x^y) + 17761043554409017673*(x&y) + 17761043554409017671, x + y
1873748926442584569*~(x|~y) + 1873748926442584570*x + y + 16572995147266967047*(x|y), x + y
1200300756230111910*~(x|y) + 1200300756230111912*(x&y) + 17246443317479439705*~(x^y) - 1, x + y
11665863669520013583*~(x&y) + 11665863669520013584*~(x^y) + 11665863669520013585*(x|y) + 4884983265330475551, x + y
-(x&~y) + 1901004399075064154*~(x|~y) + 1901004399075064155*x + 16545739674634487463*(x|y), x + y
6348186867128172786*(x&~y) + 12098557206581378829*(x^y) + 12098557206581378830*x + 6348186867128172788*(x|y), x + y
9951318590347269554*(x^y) + 9951318590347269555*(x&y) + 8495425483362282063*(x|y), x + y
8413843605557367085*~(x|~y) + 10032900468152184530*(x^y) + 10032900468152184531*y + 8413843605557367087*(x|y), x + y
9454888943203298845*(x^y) + 9454888943203298846*(x&y) + 8991855130506252772*(x|y), x + y
17788117232351162131*~(x&y) + 17788117232351162132*~(x^y) + 17788117232351162133*(x|y) + 17129490390992772647, x + y
12827907447320548556*(x&~y) + 12827907447320548558*~(x|~y) + 5618836626389003059*(x^y) + 2*x, x + y
6518854019691269723*(x&~y) + 11927890054018281893*~(x|~y) + 11927890054018281894*x + 6518854019691269724*y, x + y
8856254231460401682*~(x|~y) + 14018616957979350775*(x^y) + 4428127115730200842*x + 14018616957979350776*y, x + y
7107126025533246701*~y + x + 7107126025533246702*y + 7107126025533246701, x + y
7545904389183126666*(x&~y) + 7545904389183126668*~(x|~y) + 10900839684526424949*(x^y) + 2*x, x + y
16366853753142257485*x + 2079890320567294132*(x|~y) + 2079890320567294133*y + 16366853753142257484*~(x&~y), x + y
18356953066842674943*~(x|y) + (x^y) + 18356953066842674945*(x&y) + 89791006866876673*~(x^y), x + y
6348915214691578782*(x^y) + 6348915214691578783*(x&y) + 12097828859017972835*(x|y), x + y
5332246212833406773*(x&~y) + 5332246212833406775*~(x|~y) + 13114497860876144842*(x^y) + 2*x, x + y
13789923108271152342*~(x|~y) + 13789923108271152343*x + y + 4656820965438399274*(x|y), x + y
13717950825654216520*~(x|y) + 13717950825654216522*(x&y) + 4728793248055335095*~(x^y) - 1, x + y
6354740044400933958*(x^y) + 6354740044400933959*(x&y) + 12092004029308617659*(x|y), x + y
-~(x|y) + 15921262329458463083*~(x&y) + 15921262329458463084*(x&y) + 15921262329458463082, x + y
18285062674378927633*~(x|y) + 18285062674378927635*(x&y) + 161681399330623982*~(x^y) - 1, x + y
5938248158174753333*(x&~y) + (x^y) + 5938248158174753335*(x&y) + 12508495915534798283*x, x + y
11224046876175581069*(x&~y) + ~(x|~y) + 11224046876175581070*(x&y) + 7222697197533970548*x, x + y
7907620598878219558*(x^y) + 7907620598878219559*(x&y) + 10539123474831332059*(x|y), x + y
-(x&~y) + 8720344192240583346*~(x|~y) + 8720344192240583347*x + 9726399881468968271*(x|y), x + y
11619756414729096402*~(x|y) + ~(x&y) + 11619756414729096405*(x&y) + 6826987658980455213*~(x^y), x + y
12633661162345933504*(x&~y) + 5813082911363618112*~(x|~y) + 5813082911363618113*x + 12633661162345933505*y, x + y
17502517601016679176*~x + 17502517601016679177*x + y + 17502517601016679176, x + y
7058450541922798942*~(x|y) + ~(x&y) + 7058450541922798945*(x&y) + 11388293531786752673*~(x^y), x + y
2738824012725559374*(x^y) - 2*~(x&y) + 2738824012725559373*~(x^y) + 2738824012725559371, x + y
185344716516757086*(x&~y) + 185344716516757087*(x&y) + 18261399357192794530*x + (x|y), x + y
6824602505791238732*~y + 6824602505791238733*(x&y) + 11622141567918312884*(x|~y) + (x|y), x + y
15810555258050284766*~y + 15810555258050284767*(x&y) + 2636188815659266850*(x|~y) + (x|y), x + y
15805450519998401099*~(x|y) + 15805450519998401102*(x^y) + 2641293553711150515*~(x&y) + 2*~(x^y), x + y
3370698715922484945*(x^y) + 3370698715922484946*~(x^y) + 2*(x|y) + 3370698715922484946, x + y
14937205897461556972*(x&~y) + (x&y) + 14937205897461556972*y + 3509538176247994645*(x|y), x + y
9494449878983830182*~x + (x^y) + 9494449878983830184*(x&y) + 8952294194725721434*~(x&~y), x + y
692117304654748153*(x&~y) + 17754626769054803463*~(x|~y) + 17754626769054803464*x + 692117304654748154*y, x + y
14351409662940345646*(x^y) + 14351409662940345647*(x&y) + 4095334410769205971*(x|y), x + y
-~(x|y) + 13878418320129930830*~(x&y) + 13878418320129930831*(x&y) + 13878418320129930829, x + y
11890737035371425918*(x^y) + 11890737035371425919*(x&y) + 6556007038338125699*(x|y), x + y
2036844254992122740*(x&~y) + 2036844254992122740*~(x|~y) + 16409899818717428875*(x^y) + 2*(x|y), x + y
11629717317798899097*~x + 11629717317798899098*(x&y) + 6817026755910652519*~(x&~y) + (x|y), x + y
12788548644796570972*(x&~y) + (x&y) + 12788548644796570972*y + 5658195428912980645*(x|y), x + y
543126125656598121*(x&~y) + 543126125656598119*~(x|~y) + 17903617948052953496*(x^y) + 2*y, x + y
9309303908788752222*(x&~y) + 9309303908788752222*~(x|~y) + 9309303908788752223*(x&y) + 9137440164920799395*(x|y), x + y
2505736647672144502*(x&~y) + 7970503713018703557*(x^y) + 7970503713018703558*x + 10476240360690848060*y, x + y
13413404231443546004*(x^y) + 2*(x&y) + 13413404231443546003*~(x^y) + 13413404231443546003, x + y
695798815491329148*~y - ~x + 695798815491329149*y + 695798815491329147, x + y
(x&~y) + 11721710396840580505*~(x|~y) + 11721710396840580506*(x&y) + 6725033676868971112*y, x + y
17723306938211113244*~(x|y) - (x^y) + 17723306938211113246*(x|y) + 17723306938211113244, x + y
-(x&~y) + 4952009519774304115*~(x|~y) + 4952009519774304116*x + 13494734553935247502*(x|y), x + y
14461862092631737997*~(x|y) + 14461862092631737998*(x^y) + 14461862092631737999*(x&y) + 14461862092631737997, x + y
2*~(x|y) - ~y - ~x + 2*(x|y), x + y
13986704802353289729*(x&~y) + 13986704802353289727*~(x|~y) + 4460039271356261888*(x^y) + 2*y, x + y
3694709383035838041*(x^y) + 3694709383035838042*(x&y) + 14752034690673713576*(x|y), x + y
13280473526665114844*~(x|y) + ~(x^y) + 13280473526665114846*(x|y) + 13280473526665114845, x + y
12920956948734747038*(x&~y) + 12920956948734747040*~(x|~y) + 5525787124974804577*(x^y) + 2*x, x + y
7147088018669303672*(x^y) + 7147088018669303673*(x&y) + 11299656055040247945*(x|y), x + y
