# x + y
13664254869414482676*((~(x^y)&~t)|(~(x|(y|z))&t)) + 6832127434707241344*((~(y^z)&~t)|((~z&(x^y))&t)) + 15713893099826655077*(((z^~(x|(y&z)))&~t)|(~(~x|(~y|z))&t)) + 10248191152060862011*((~(x^(y&z))&~t)|(((x^y)&~(x^z))&t)) + 3416063717353620669*(((z&(x|y))&~t)|((y^(x|z))&t)) + 10248191152060862013*(((z^~(x|(~y&z)))&~t)|((y^(~x|(~y|z)))&t)) + 1366425486941448269*((~(x&(y&z))&~t)|((x^z)&t)) + 4099276460824344790*(((z&~(x&~y))&~t)|((y^(x&z))&t)) + 6148914691236517211*(((y^(x&(y|z)))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 12297829382473034411*(((y^~(x&~z))&~t)|((x&(y&z))&t)) + 15030680356355930937*((~(x^(~y&z))&~t)|(((x|~y)&~(y^z))&t)) + 17763531330238827490*((((y&z)|(x&(y|z)))&~t)|(((x&z)|(y&~z))&t)) + 15030680356355930947*(((~x|(y&z))&~t)|(((y&~z)^(x|(y^z)))&t)) + 6832127434707241334*((~(~x&(y|z))&~t)|((z^~(x|(~y&z)))&t)) + 3416063717353620677*((((x&y)^(x^(~y|z)))&~t)|((~(x&~y)&~(y^z))&t)) + 3416063717353620670*(((x|z)&~t)|(((x|y)&~(y^z))&t)), x + y
13712623913200020669*((~(y|~z)&~t)|(~(x|(y|z))&t)) + 14039114958752402115*((~(x^(~y&z))&~t)|(~(y|~z)&t)) + 2611928364419051556*(((y&z)&~t)|((y^(x|(~y|z)))&t)) + 14855342572633355725*((((x&~y)|~(x^(y^z)))&~t)|(((x&z)^(x^(~y&z)))&t)) + 9957976889347634058*(((y^(~x&(y|z)))&~t)|((y&(x^z))&t)) + 17140779891500025837*((((y&~z)|~(x|(~y&z)))&~t)|((z^(x&(~y|z)))&t)) + 7999030616033345391*(((z&(x|~y))&~t)|((~x&(y|z))&t)) + 5876838819942866002*(((y^(~x&(y^z)))&~t)|(((x&z)^(y|z))&t)) + 489736568328572167*((~(x^z)&~t)|(((x&~y)|~(x^(y^z)))&t)) + 11427186594333350560*(((x|y)&~t)|((~z|(x^y))&t)) + 11263941071557159836*((((x&z)|(y&~z))&~t)|(~(x&y)&t)) + 8162276138809536114*((~(y&z)&~t)|(((x&y)|(x^(y^z)))&t)) + 11263941071557159836*(((x|~z)&~t)|((z^~(x|(~y&z)))&t)) + 7835785093257154670*((~(x^(y^z))&~t)|((x|~y)&t)) + 12896396299319067060*(((x|(~y&z))&~t)|((z&~(x&~y))&t)) + 15181833618185737170*(((y^(x|(y|z)))&~t)|(~(x&~y)&t)), x + y
5030930201920786803*(((y^(x|(y|z)))&~t)|(~(y|z)&t)) + 2*(((z^~(~x|(y&z)))&~t)|((z^(~x|(~y|z)))&t)) + 13415813871788764814*((~(x&(~y&z))&~t)|((z^(~x|(y|z)))&t)) + 3*((((x^y)|(x^z))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 8384883669867978006*(((~x|(y^z))&~t)|((z^~(x&(~y&z)))&t)) + 16769767339735956009*((((x&z)^(x^(y&z)))&~t)|((z^~(x&(~y&z)))&t)) + 16769767339735956015*(((z^(x|~y))&~t)|((~(x|y)|(y^z))&t)) + 10061860403841573613*(((z^~(x|~y))&~t)|((z^~(~x&(y&z)))&t)) + 16769767339735956012*((((x&y)^~(x^(~y|z)))&~t)|((x^(y|z))&t)) + 10061860403841573608*((~(x^(~y|z))&~t)|(~(x&z)&t)) + 10061860403841573605*(((x|(y^z))&~t)|(~(x^(y^z))&t)) + 8384883669867978012*((~(~x|(y^z))&~t)|((z^~(~x|(~y&z)))&t)) + 5030930201920786804*(((~(x&~y)&(x^(y^z)))&~t)|((y^~(x&(~y|z)))&t)) + 13415813871788764815*((((y&z)^~(~x&(y^z)))&~t)|((x|(~y&z))&t)) + 15092790605762360417*((~(~x|(~y&z))&~t)|(((x&z)^~(x^(~y&z)))&t)) + 3353953467947191198*(((y^~(x&z))&~t)|((y|(x^z))&t)), x + y
10113658912999059187*(((y^~(x|(~y&z)))&~t)|(~(y|z)&t)) + 17022285071878698210*((((x|~y)&~(y^z))&~t)|(~(~x|(~y|z))&t)) + 13318691667118479354*(((x&(y|z))&~t)|(~(~x|(~y|z))&t)) + 10042435962907516518*((((x&y)^(x^(~y|z)))&~t)|((y^(x|(y|z)))&t)) + 3062586853936334824*(((y&~(x&~z))&~t)|(((x&y)^(y|~z))&t)) + 2136688502746280109*((~(y&z)&~t)|((z^(x&(y|z)))&t)) + 6552511408421925670*(((y^~(x|~z))&~t)|((y^(x&z))&t)) + 8475531060893577770*((~(x^(~y|z))&~t)|(((x&y)^(y|z))&t)) + 14458258868583162077*(((~y|(x^z))&~t)|((~x|(~y&z))&t)) + 12962576916660766000*((((y&z)|(~x&(y|z)))&~t)|((z^(~x&(~y|z)))&t)) + 9116537611717461804*((((x|~y)&(y^z))&~t)|((z^~(x|~y))&t)) + 12606462166203052647*(((z|~(x^y))&~t)|(((x&y)|~(y|~z))&t)) + 7407186809520437716*((~(x&(~y|z))&~t)|((y&(x|z))&t)) + 15170488369498588781*(((x^y)&~t)|((y|~z)&t)) + 16951062121787155539*(((x|z)&~t)|((~(x|~y)|(x^(y^z)))&t)) + 18019406373160295595*(((y|(x&~z))&~t)|(((x&y)|~(x^(y^z)))&t)), x + y
16397105843297379194*(((y|(x&z))&~t)|(~(y|z)&t)) + 12297829382473034432*((~(x^(~y|z))&~t)|(~z&t)) + 10248191152060862010*(((x|(~y&z))&~t)|((z^~(x&~y))&t)) + 10248191152060862001*((~(x&(y&z))&~t)|((~(x&y)&(y^z))&t)) + 12297829382473034412*(((~z&~(x^y))&~t)|(((x&z)^(y|z))&t)) + 8198552921648689604*(((y^(~x|(~y&z)))&~t)|((~x|(~y&z))&t)) + 6148914691236517221*(((~z&(x^y))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 6148914691236517225*(((y|~(x^z))&~t)|(~(~x|(y^z))&t)) - 7*(((y^~(x&z))&~t)|((y^~(x|(y^z)))&t)) + 2049638230412172410*(((z^(x|(y&z)))&~t)|((z^(~x&(y|z)))&t)) + 6148914691236517214*(((z&~(x&~y))&~t)|((z^~(x|~y))&t)) + 12297829382473034396*((((x|y)&(x^(y^z)))&~t)|((x|(y^z))&t)) + 10248191152060862003*(((z^~(x&y))&~t)|(((x&z)^(x^(y&z)))&t)) + 10248191152060862011*(((y^~(x|(y^z)))&~t)|((z^~(x|(y&z)))&t)) + 16397105843297379215*((((y&~z)|~(x|(~y&z)))&~t)|((y^~(~x|(y&z)))&t)) + 10248191152060861999*(((y^(x|(y&z)))&~t)|((y|~(x^z))&t)), x + y
-2*(((z^(x|~y))&~t)|((~x&(~y|z))&t)) + 2*(((y^(~x&(~y|z)))&~t)|((~x&(y|z))&t)) - 6*((((x&y)|~(x^(y^z)))&~t)|(((x&z)^(y|z))&t)) + (((z^(x|(y&z)))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 3*(((y^(~x&(~y|z)))&~t)|(~(x&(y&z))&t)) + ((((x&y)|~(y^z))&~t)|(~(x&(y&z))&t)) - 3*(((y|~(x^z))&~t)|((~(x^y)&~(x^z))&t)) - (((y&~(x^z))&~t)|(~(~x|(y^z))&t)) + ((~(~x|(y&z))&~t)|((y^~(x|(~y&z)))&t)) + 9*((((x&y)|~(x^(y^z)))&~t)|((z&~(x^y))&t)) - 6*((~(x^y)&~t)|(((y&~z)^(x|(y^z)))&t)) + (((~(x&~y)&~(x^(y^z)))&~t)|(((x^y)|~(x^z))&t)) + 3*(((y^~(x|z))&~t)|((x|(y&z))&t)) - 2*(((~(x&~y)&~(x^(y^z)))&~t)|((z|~(x|y))&t)), x + y
13176245766935394006*((((x&z)^(x^(y&z)))&~t)|(~(x|(y|z))&t)) + 878416384462359590*(((z^~(x&(y|z)))&~t)|(~z&t)) + 13176245766935394013*(((y&~(x&~z))&~t)|((z^(x|(y&z)))&t)) + 15811494920322472831*((((x|y)&(x^(y^z)))&~t)|(((x&y)^~(x^(y&z)))&t)) + 9662580229085955599*(((x^(~y&z))&~t)|(((x&z)^(x^(~y&z)))&t)) + 2635249153387078811*(((y|~z)&~t)|(((x&z)^(y|z))&t)) + 15811494920322472809*(((z^(x|(y|z)))&~t)|((z^~(~x&(~y|z)))&t)) + 5270498306774157606*(((x&~z)&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 1756832768924719199*(((z^~(x&~y))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 6148914691236517206*((((x|y)&(y^z))&~t)|((~(x|~y)|(y^z))&t)) + 12297829382473034402*((~(x&~z)&~t)|(~(x^(y|z))&t)) + 878416384462359612*~(~x&(y|(z&t))) + 2*((((x&y)^~(x^(y&z)))&~t)|((x|(y^z))&t)) + 14054662151397753617*(((z|~(x|~y))&~t)|(~(y^z)&t)) + 8784163844623595994*((((x|y)&(x^(y^z)))&~t)|(~(x&~y)&t)) + 878416384462359607*((~(x^(~y|z))&~t)|(~(~x&(y^z))&t)), x + y
3532355248157148182*((((x&~y)|~(x^(y^z)))&~t)|((~z&(x^y))&t)) + 392483916461905354*(((~(x^y)&(x^z))&~t)|((z^(~x|(y|z)))&t)) + 14129420992628592732*(((x^(y&z))&~t)|((z^(x|(y|z)))&t)) + 7849678329238107070*((((x|~y)&(x^(y^z)))&~t)|((~(x&y)&(x^(y^z)))&t)) + 1569935665847621415*(((x|(y|z))&~t)|((z^(x|y))&t)) + 12167001410319065956*((x&~t)|(((x&y)^(y|~z))&t)) + 784967832923810708*(((z^~(x&(~y&z)))&~t)|((~x&(~y|z))&t)) + 9027130078623823130*((((x^y)|(x^z))&~t)|((y^~(~x&(y|z)))&t)) + 7849678329238107070*(((y|~(x^z))&~t)|(~(x&(y&z))&t)) + 18054260157247646265*((~(~x&(~y&z))&~t)|(((x&y)|~(y|z))&t)) + 18054260157247646263*(((~(x^y)&(x^z))&~t)|((y^~(x&(~y|z)))&t)) + 17661776240785740905*((~(x|(~y&z))&~t)|(((x&y)|(x^(y^z)))&t)) + 12951969243242876664*(((x|y)&~t)|((x|(~y&z))&t)) + 5887258746928580308*(((y&~(x^z))&~t)|((z|(x^y))&t)) + 7457194412776201718*(((~(x&~y)&~(y^z))&~t)|((z|~(x^y))&t)) + 12167001410319065959*((~(~x|(y&z))&~t)|((y|z)&t)), x + y
5270498306774157602*(((y^(~x&(~y|z)))&~t)|(~(~x|(y|z))&t)) + 15811494920322472816*(((~z|(x^y))&~t)|((z^(x|(y|z)))&t)) + 15811494920322472812*((~(x^(~y&z))&~t)|((y^(x|(y&z)))&t)) + 13176245766935394012*(((x|(~y|z))&~t)|((y^~(~x&(y^z)))&t)) + 5270498306774157605*(((y^(~x|(~y&z)))&~t)|((~(x&y)&~(y^z))&t)) + 10540996613548315207*(((y^(~x|(~y|z)))&~t)|(((x&y)^(y|~z))&t)) + 2635249153387078803*(((y^~(x|(y^z)))&~t)|((y^~(~x&(~y|z)))&t)) + 7905747460161236408*((((x&y)|~(y|z))&~t)|(((x|y)&(x^(y^z)))&t)) + 5270498306774157604*(((y^~(~x|(y^z)))&~t)|((z^~(x&(y&z)))&t)) + (((x|z)&~t)|((y^~(x&(~y|z)))&t)) + 2*((((x&~y)|(y^z))&~t)|((z^(~x&(y|z)))&t)) + 5270498306774157601*(((y^~(~x&(~y|z)))&~t)|((z^(~x&(y|z)))&t)) - ((((x|~y)&(x^(y^z)))&~t)|((~(x^y)|(x^z))&t)) + 2635249153387078804*((((y&z)|(~x&(y|z)))&~t)|(((x^y)|~(x^z))&t)) + 7905747460161236406*(((z^~(~x&(y&z)))&~t)|((y|(x&z))&t)) + 7905747460161236409*(((y^(x|~z))&~t)|((x|y)&t)), x + y
17262090784572240962*(((z^(~x|(y&z)))&~t)|((~z&(x^y))&t)) + 6261738814011499171*((((x^y)&(x^z))&~t)|((~x&(y^z))&t)) + 13200422364672890147*((~(x|~z)&~t)|((z^(x|(~y&z)))&t)) + 4230904604061823766*(((y^~(x&(y^z)))&~t)|((y&~(x&z))&t)) + 11000351970560741788*((~(x|y)&~t)|((~(x&y)&~(x^(y^z)))&t)) + 13708130917160309000*(((y^~(x|(y&z)))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 10661879602235795888*(((z^~(~x|(y&z)))&~t)|(((x&y)^(y|z))&t)) + 4738613156549242617*((~(~x|(~y|z))&~t)|((~x|(~y&z))&t)) + 5415557893199134420*(((y^(x&~z))&~t)|(((x|~y)&~(y^z))&t)) + 2200070394112148358*(((y^(x|(y|z)))&~t)|((y&(x|~z))&t)) + 14046603285485254900*(((x^(~y|z))&~t)|((z^~(x&(y&z)))&t)) + 676944736649891803*(((y^(x&(y^z)))&~t)|(((x&~y)|(x^(y^z)))&t)) + 16754382232084822110*((~(y&z)&~t)|((x|(~y&z))&t)) + 9815698681423431136*((((x^y)&(x^z))&~t)|(z&t)) + 15231256574622565554*((~(x^(y&z))&~t)|(~(y&~z)&t)) + 9646462497260958185*(((y^(~x&(y|z)))&~t)|((x|(~y|z))&t)), x + y
17087510299857268866*(((z^~(x|~y))&~t)|(~(~x|(y|z))&t)) + 14757395258967641295*(((z|~(x|y))&~t)|((y^(~x|(y&z)))&t)) + 16116629032819924044*(((~z&~(x^y))&~t)|((y^(x|(y|z)))&t)) + 9902988923780917184*(((~x&(y^z))&~t)|((~x&(y&z))&t)) + 8155402643113696508*(((~(x|y)|(x^(y^z)))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 1747586280667220675*(((x|(y|z))&~t)|((y^(x|~z))&t)) + 11650575204448137866*(((z^(x&y))&~t)|((y&~(x^z))&t)) + 13786513991930296471*(((z^(x&(y|z)))&~t)|(~(x^(y&z))&t)) + 13980690245337765434*(((y^~(x|z))&~t)|(~(x^(y&z))&t)) + 17281686553264737829*(((x|(~y&z))&~t)|((~(x^y)|~(x^z))&t)) + 1747586280667220680*(((z&~(x^y))&~t)|(((x|y)&~(y^z))&t)) + 17475862806672206795*((((x&y)|~(y|z))&~t)|((y^~(x|z))&t)) + 5631111348816599965*(((y^(~x|(y&z)))&~t)|((~(x|y)|~(y^z))&t)) + 11262222697633199934*((((x&z)^(x^(~y&z)))&~t)|((~(x|~y)|(x^(y^z)))&t)) + 16116629032819924039*((((x&z)^~(y&~z))&~t)|(~(x&~y)&t)) + 1747586280667220685*(((z^(x|(~y&z)))&~t)|(~(y&~z)&t)), x + y
15122275910975082973*(((z&~(x&~y))&~t)|(~(x|z)&t)) + 81084589334987040*((((x&z)^(x^(~y&z)))&~t)|((~(x^y)&(x^z))&t)) + 8757135648178600325*((~(y|~z)&~t)|(~(~x|(y&z))&t)) + 6243513378794002086*((~(x&~z)&~t)|((y^(~x|(~y|z)))&t)) + 7338155334816327127*(((y^~(x|(~y&z)))&~t)|((y^z)&t)) + 8797677942846093849*(((z|~(x|~y))&~t)|((z^(x&(~y|z)))&t)) + 14433056901627693132*((((x&y)|~(y|z))&~t)|((y^~(~x&(y&z)))&t)) + 14635768374965160734*(((x^(~y|z))&~t)|((z^(~x&(y|z)))&t)) + 11919434632243094892*~(x^(~y|(z|t))) + 3446095046736949202*(((z^~(x&(y|z)))&~t)|((z^~(x&(~y|z)))&t)) + 5189413717439170565*((~z&~t)|(~(~x&(~y|z))&t)) + 6486767146798963205*(((z|(x&~y))&~t)|((z^~(x|(~y&z)))&t)) + 7784120576158755846*(((y^z)&~t)|(((x&z)^~(x^(~y&z)))&t)) + 10540996613548315209*(((x^(~y|z))&~t)|((y&(x|z))&t)) + 1824403260037208404*((((x&z)^(x^(~y&z)))&~t)|((y|~(x^z))&t)) + 11959976926910588409*((~(x&z)&~t)|((z|~(x|~y))&t)), x + y
9472652362175175155*(((x^(y&z))&~t)|((x&~x)&t)) + 6979849108971181692*(((z^~(~x&(y|z)))&~t)|((~x&(y^z))&t)) + 7976970410252779078*(((z|(x&~y))&~t)|((~x&(y&z))&t)) + 15953940820505558154*(((z^~(x&~y))&~t)|((z^(x|~y))&t)) + 11965455615379168617*(((~(x|y)|(x^(y^z)))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 1495681951922396076*(((z|(x^y))&~t)|((x^z)&t)) + 6979849108971181693*(((z^(x|y))&~t)|(~(x&y)&t)) + 8475531060893577768*((~(x&z)&~t)|((~(x^y)&~(x^z))&t)) + 8974091711534376464*((~(~x&(~y&z))&~t)|((x&y)&t)) + 498560650640798693*((x&z)&t) + 8475531060893577769*(((y^(x|(y|z)))&~t)|(x&t)) + 12464016266019967308*(((~(x&~y)&(y^z))&~t)|(((y&~z)^(x|(y^z)))&t)) + 5484167157048785617*((~(x|~z)&~t)|((x|~y)&t)) + 4487045855767188232*(((y&~z)&~t)|((y^(x&~z))&t)) + 3489924554485590846*(((z&~(x&~y))&~t)|((~x|(y&z))&t)) + 2991363903844792153*((((x^y)|~(x^z))&~t)|((y|~(x^z))&t)), x + y
14757395258967641294*((~(x|(y^z))&~t)|((z^(x|(y|z)))&t)) + 14757395258967641296*(((x|(~y&z))&~t)|((y^~(x&(~y&z)))&t)) + 3689348814741910324*((((x|y)&~(x^(y^z)))&~t)|((y^~(~x&(~y&z)))&t)) + 7378697629483820644*(((x&(y|z))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 3689348814741910322*((~(x|(y^z))&~t)|((y^(x|(y|z)))&t)) - 2*(((y^(x&~z))&~t)|((~(x&y)&(y^z))&t)) + 7378697629483820646*(((x&(y^z))&~t)|((y^~(x&~z))&t)) + 7378697629483820649*(((z^(~x|(~y&z)))&~t)|(~(x|~y)&t)) + 7378697629483820642*(((y&(x^z))&~t)|((y^~(~x|(~y&z)))&t)) + 14757395258967641288*(((y^~(~x&(y|z)))&~t)|((~x&(~y|z))&t)) + 14757395258967641299*(((y^(x&(~y|z)))&~t)|((z&~(x&y))&t)) + 14757395258967641295*(((y|~(x|z))&~t)|((y^(~x&(~y|z)))&t)) + 11068046444225730968*(((~(x&~y)&(y^z))&~t)|((~z|~(x^y))&t)) + 3*(((~x&(y&z))&~t)|((y|~z)&t)) + 11068046444225730968*(((x|(y^z))&~t)|((z&~(x&~y))&t)), x + y
7572873882891289610*(((y^(x|(y&z)))&~t)|(~(~x|(~y|z))&t)) + 3300996307926972397*((((x|y)&(y^z))&~t)|(~(~x|(~y|z))&t)) + 2524291294297096534*(((~(x&y)&~(x^(y^z)))&~t)|((y^(~x|(y&z)))&t)) + 11262222697633199936*(((~(x|y)|(x^(y^z)))&~t)|((z^(x|y))&t)) + 13203985231707889579*(((y^~(x|z))&~t)|(((x^y)&~(x^z))&t)) + 6407816362446475822*((((x&y)|(x^(y^z)))&~t)|((y^(x|z))&t)) + 4077701321556848251*((((y&~z)^(x|(y^z)))&~t)|(~(y&z)&t)) + 12815632724892951649*(((y^~(x&(y^z)))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 3495172561334441358*(((y^(x&~z))&~t)|((x^y)&t)) + 14563219005560172331*((((x&y)^(x^(y&z)))&~t)|((~y|(x^z))&t)) + 17281686553264737830*(((x&(y^z))&~t)|((~(x^y)&~(x^z))&t)) + 15534100272597517151*(((~(x^y)|(x^z))&~t)|((x&(~y|z))&t)) + 17281686553264737831*(((~z&(x^y))&~t)|((z^~(x|(~y&z)))&t)) + 17670039060079675759*(((x^(~y&z))&~t)|((~(x^y)|~(x^z))&t)) + 6019463855631537896*(((y|z)&~t)|(((x&z)^~(x^(~y&z)))&t)) - (((z^~(x&(y&z)))&~t)|(((x&y)|~(x^(y^z)))&t)), x + y
3689348814741910324*(((~z|~(x^y))&~t)|(~(y|~z)&t)) + 6148914691236517203*((~(x&(y|z))&~t)|((y^(x|(~y|z)))&t)) + 13281655733070877165*((z|~t)^y) + 983826350597842754*(((z^~(x|(y&z)))&~t)|(~(y&z)&t)) + 17462917723111708865*(((y^~(~x|(~y&z)))&~t)|(((x^y)&(x^z))&t)) + 11559959619524652348*(((y^(~x&(y^z)))&~t)|((x^y)&t)) + 7624654217133281333*((~y&~t)|((y^(x|(~y&z)))&t)) + 1475739525896764131*((((x&z)^(x^(y&z)))&~t)|((z^~(~x|(~y&z)))&t)) + 5165088340638674450*((~(x&~y)&~t)|(((x^y)|(x^z))&t)) + 4919131752989213765*((~(x|~y)&~t)|((z^~(x&y))&t)) + 3935305402391371012*((~(x&~z)&~t)|((y^~(x|~z))&t)) + 16479091372513866109*(((z|~(x^y))&~t)|((z^(~x&(y|z)))&t)) + 17954830898410630242*((((x&z)^~(x^(y&z)))&~t)|((z^~(x|~y))&t)) + 16971004547812787488*((~(x^y)&~t)|((y|~(x|z))&t)) + 5657001515937595828*(((y^~(~x|(y&z)))&~t)|((y|~(x|~z))&t)) + 7870610804782742022*(((z^~(x|~y))&~t)|((z|~(x^y))&t)), x + y
-3*((((y&z)^~(~x&(y^z)))&~t)|((y&~z)&t)) + 2635249153387078803*(((y^~(~x&(~y|z)))&~t)|((z^(~x|(y|z)))&t)) + 13176245766935394018*(((~(x&y)&(x^(y^z)))&~t)|((y^(x|(y&z)))&t)) + ((((x|~y)&(x^(y^z)))&~t)|((y^(~x|(y|z)))&t)) - 3*(((x^(y&z))&~t)|((y^(x|(y|z)))&t)) + 10540996613548315209*((((x&y)^(y|~z))&~t)|((z&~(x&y))&t)) + 15811494920322472818*(((x^z)&~t)|((y^~(x&(~y|z)))&t)) + 2635249153387078797*((((x&y)^(x^(~y|z)))&~t)|((z^~(x&(y|z)))&t)) + 15811494920322472817*((~(x|(y^z))&~t)|((y^~(x&(y&z)))&t)) + 15811494920322472808*(((x^(y^z))&~t)|(((x&~y)|(x^(y^z)))&t)) + 15811494920322472818*(((x^(y^z))&~t)|(((x&y)|~(y|~z))&t)) + 7905747460161236412*((((y&z)|(x&(y|z)))&~t)|((y&z)&t)) + 10540996613548315204*((((x&y)|(x^(y^z)))&~t)|((y^~(x|z))&t)) + 5270498306774157602*(((y^~(~x&(y^z)))&~t)|(((x&y)|~(y^z))&t)) + 2635249153387078810*(((x|~z)&~t)|((y|~z)&t)) - 4*(((y^(x&(~y|z)))&~t)|(((x&y)^(x^(~y|z)))&t)), x + y
14257963760028780070*(((y^~(~x&(y^z)))&~t)|(~z&t)) + 11921913200476042090*(((z^(~x&(y|z)))&~t)|(~(y|~z)&t)) + 15707926176302893297*(((~y&~(x^z))&~t)|(((x&y)^(y|~z))&t)) + 7652579419224486480*(((~(x|y)|(x^(y^z)))&~t)|(~(x|~z)&t)) + 18366190606138767548*(((~x&(~y&z))&~t)|(~x&t)) + 6122063535379589180*(((y^(x&~z))&~t)|((z^~(~x&(~y|z)))&t)) + 3141585235260578662*(((y^(x&~z))&~t)|(~(x^(y^z))&t)) + 2174943624411169842*(((y&~z)&~t)|((y^(x&z))&t)) + 7169258613799782070*(((x^(~y|z))&~t)|(~(~x|(~y&z))&t)) + 3705459508256067136*(((z^(x|(y&z)))&~t)|((z^~(x|(~y&z)))&t)) + 5397082327242532572*(((z&(x^y))&~t)|((x|(~y&z))&t)) + 3383245637972930865*(((y^z)&~t)|(((x&z)^~(x^(~y&z)))&t)) + 15063498435736620749*((((x&y)^(y|z))&~t)|(((x&y)|~(y^z))&t)) + 8055346757078406822*(((z^(~x&(y|z)))&~t)|(~(x&(y^z))&t)) + 2013836689269601705*(((z^(x|(y|z)))&~t)|((y|(x^z))&t)) + 10552504251772712931*((~(x|(y|z))&~t)|((z|~(x|y))&t)), x + y
11969887265607086824*(((x^(~y|z))&~t)|(~(x|(y|z))&t)) + 7706639746349768231*(((y|(x&z))&~t)|((~x&(y^z))&t)) + 11969887265607086828*((~(x|~y)&~t)|((z^~(x&~y))&t)) + 5984943632803543411*((~(x^(~y&z))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 8198552921648689610*((((x|~y)&~(x^(y^z)))&~t)|((z^~(x&(~y&z)))&t)) + 10904075385792757178*(((y^~(~x&(~y|z)))&~t)|((~(x&y)&~(x^(y^z)))&t)) + 8690466096947610985*(((x^y)&~t)|((y^~(~x&(~y|z)))&t)) + 7870610804782742021*(((z^(x&(~y|z)))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 5165088340638674453*(((x&~z)&~t)|(((x&y)|(x^(y^z)))&t)) + 3853319873174884116*(((y^(x&(~y|z)))&~t)|(((x&z)|~(y|z))&t)) + 14265482083668719918*(((y^~(~x|(~y&z)))&~t)|((y&z)&t)) + 10002234564411401318*(((y^(x|(y&z)))&~t)|((~(x&~y)&~(y^z))&t)) + 5738987045154082729*((((x&y)^(x^(~y|z)))&~t)|((y^~(x|(y&z)))&t)) + 11314003031875191658*(((~x&(y|z))&~t)|((z^~(x|(y&z)))&t)) + 13035699145421416476*((((x|~y)&~(y^z))&~t)|((y^~(~x|(y&z)))&t)) + 10412162210493835798*(((~(x&~y)&~(y^z))&~t)|(~(x&~x)&t)), x + y
5063812098665367102*((~(x|~y)&~t)|((y^~(~x&(y^z)))&t)) + 3255307777713450293*((((y&z)^~(~x&(y^z)))&~t)|((y^(x|(~y|z)))&t)) + 13382931975044184500*(((y^(~x&(y^z)))&~t)|((~(x&y)&~(y^z))&t)) + 7957419012188434038*(((~(x|~y)|(y^z))&~t)|(~x&t)) + 8680820740569200756*((~(x^(~y|z))&~t)|(~(x&(~y|z))&t)) + 12659530246663417772*((~(x^(y^z))&~t)|((z^~(~x&(~y|z)))&t)) + 2531906049332683568*((~(x|~y)&~t)|(((y&~z)^(x|(y^z)))&t)) + 3617008641903833646*(((y|~(x^z))&~t)|((y^~(x&(y&z)))&t)) + 18085043209519168237*((~(x|(y&z))&~t)|(((x&~y)|(x^(y^z)))&t)) + 13382931975044184499*((((x|~y)&(y^z))&~t)|(((y&z)|(~x&(y|z)))&t)) + 13382931975044184513*(~x|(y|(~z&t))) + 14468034567615334605*((((x&y)^(y|~z))&~t)|((y^~(~x|(y&z)))&t)) + 10489325061521117579*(((y^(x|~z))&~t)|((x|(y&z))&t)) + 7595718147998050677*(((y^(~x|(y^z)))&~t)|((x|y)&t)) + 6148914691236517205*((((x&y)|~(x^(y^z)))&~t)|((z|(x^y))&t)) + 2531906049332683553*(((~(x&~y)&~(y^z))&~t)|((z|(x&y))&t)), x + y
1875940075292496776*(((x|(y&z))&~t)|(~z&t)) + 14382207243909141932*((((x^y)&~(x^z))&~t)|(((y&z)^~(x&(y^z)))&t)) + 13756893885478309682*(((y^~(~x&(~y|z)))&~t)|((~(x&y)&(y^z))&t)) + 5940476905092906456*((((x&z)^~(x^(~y&z)))&~t)|((~(x&y)&~(y^z))&t)) + 16570803998417054841*(((z^~(~x|(~y&z)))&~t)|(~(x|(~y&z))&t)) + 15632833960770806456*(((x|(y|z))&~t)|(((x|y)&(x^(y^z)))&t)) + 10942983772539564513*((((x^y)|~(x^z))&~t)|(((x&y)|~(y|z))&t)) + 8441730338816235491*(((y^~(~x&(~y&z)))&~t)|((z^~(x&(y&z)))&t)) + 312656679215416130*(((y^(x|(~y&z)))&~t)|((y^(~x&(y|z)))&t)) + 5627820225877490324*(((~(x|y)|~(y^z))&~t)|((x&(y|z))&t)) + 4689850188231241936*(((y^~(x|(y&z)))&~t)|((y&~(x&~z))&t)) + 11255640451754980649*(((z^~(x|~y))&~t)|((y^(~x&(y^z)))&t)) + 2501253433723329027*((((x|y)&~(y^z))&~t)|(~(x&~y)&t)) + 15320177281555390329*(((y|(x&~z))&~t)|(~(x&(~y&z))&t)) + 1250626716861664512*(((~y|(x^z))&~t)|((x|y)&t)) + 16258147319201638715*(((z&(x^y))&~t)|((~x|(y|z))&t)), x + y
