# 49374 + 3735936685*x
49374*(x&~y) + 18446744073709502242*~(x&y) + 3735887311*x, 49374 + 3735936685*x
7471823996*(x&~y) + 18446744069973614931*~y + 3735936685*~(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
14571922583636110202*(x&~y) + 3735936685*x + 14571922583636110202*~(x&~y) + 14571922583636159576, 49374 + 3735936685*x
14336537939480144551*~(x|y) + 11278475102101486311*~x + 11278475105837422996*(x|~y) + 7168268971608015931*(x|y), 49374 + 3735936685*x
1210700068054270848*~(x|y) + 1210700068054270848*~(x|~y) + 17236044001919344083*~x + 18446744069973664305, 49374 + 3735936685*x
18446744069973565557*~(x|y) + 3735936685*~y + 18446744069973614931*(x^y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744073709502242*~(x|~y) + 3735936685*(x&y) + 18446744069973614931*~(x^y) + 3735887311*(x|~y), 49374 + 3735936685*x
3735887311*(x&~y) + 18446744069973664305*~y + 18446744073709502242*~x + 3735887311*(x|~y), 49374 + 3735936685*x
18446744069973565557*(x^y) + 18446744073709502242*(x|~y) + 18446744069973565557*y + 7471922744*(x|y), 49374 + 3735936685*x
3735887311*~y + 18446744066237727620*~x + 18446744069973664305*~(x^y) + 7471774622*~(x&~y), 49374 + 3735936685*x
680213920928262215*x + 17766530156517226086*(x|~y) + 17766530156517226086*(x|y) + 17766530156517275460, 49374 + 3735936685*x
49374*~y + 49374*(x^y) + 18446744073709452868*~(x&y) + 3735887311*x, 49374 + 3735936685*x
18446744066237727620*~(x|y) + 18446744069973614931*~(x|~y) + 3735887311*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
3735887311*~y + 7471823996*(x&y) + 18446744069973664305*~(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
9371833579133234890*(x&~y) + 18446744073709502242*~(x&y) + 9371833579133185516*(x&y) + 9074910498312253411*x, 49374 + 3735936685*x
7935262975022140253*~x + 7935262978758076938*x + 7935262975022189627, 49374 + 3735936685*x
16397441830772187224*(x&~y) + 16397441827036250539*~x + 16397441830772187224*(x&y) + 16397441827036299913, 49374 + 3735936685*x
18446744069973614931*~x + 9675248895667616400*(x^y) + 9675248895667616400*~(x^y) + 9675248891931729089, 49374 + 3735936685*x
14542792482799101137*(x&~y) + 3735936685*(x&y) + 14542792479063164452*~(x&~y) + 14542792479063213826, 49374 + 3735936685*x
18446744073709502242*~(x|~y) + 49374*(x&y) + 18446744073709502242*~(x^y) + 3735887311*x, 49374 + 3735936685*x
17470401090460262953*(x&~y) + 17470401086724326268*~x + 17470401090460262953*(x&y) + 17470401086724375642, 49374 + 3735936685*x
18446744069973565557*(x^y) + 18446744069973565557*~(x^y) + 3735936685*(x|~y) + 3735936685*(x|y), 49374 + 3735936685*x
271228400600765051*~(x|y) + 18175515673108737191*~x + 18175515676844673876*x + 271228400600765051*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735936685*~y + 18446744073709502242*~(x&y) + 3735887311*(x&y), 49374 + 3735936685*x
49374*~(x|y) + 18446744073709502242*~(x&y) + 18446744073709502242*~(x^y) + 3735936685*x, 49374 + 3735936685*x
49374*~(x^y) + 3735936685*x + 18446744073709502242*(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
2029928482190976420*~x + 2029928485926913105*x + 2029928482191025794, 49374 + 3735936685*x
3735936685*~y + 3735936685*~(x^y) + 7471873370*(x|y) + 7471922744, 49374 + 3735936685*x
3735986059*(x&~y) + 18446744073709502242*~y + 3735936685*(x&y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744069973565557*~(x|y) + 49374*~(x^y) + 3735887311*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
880770762006330805*~x + 880770765742267490*x + 880770762006380179, 49374 + 3735936685*x
18446744073709502242*~y + 18446744073709502242*(x&y) + 3735986059*x + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744069973614931*~y + 18446744073709502242*~(x|~y) + 18446744069973614931*~(x^y) + 7471823996*(x|~y), 49374 + 3735936685*x
4876153240355817242*~(x|y) + 13570590829617797689*~x + 13570590833353734374*(x|~y) + 13570590829617847063, 49374 + 3735936685*x
3735936685*~y + 49374*(x^y) + 18446744069973565557*~(x&y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973614931*~y + 18446744069973614931*~(x^y) + 7471873370*(x|~y) + 49374, 49374 + 3735936685*x
3735887311*~(x|~y) + 18446744069973614931*~(x&y) + 18446744069973614931*~(x^y) + 7471823996*(x|~y), 49374 + 3735936685*x
7471823996*(x&~y) + 18446744069973614931*~y + 18446744073709502242*~(x|~y) + 3735887311*~(x^y), 49374 + 3735936685*x
18446744073709502242*(x&~y) + 18446744073709502242*~(x^y) + 3735986059*x + 18446744073709502242*(x|y), 49374 + 3735936685*x
921528491223356190*~x + 921528494959292875*x + 921528491223405564, 49374 + 3735936685*x
13840585211553894421*~(x|y) + 18446744069973614931*~x + 13840585211553894421*(x|y) + 13840585207818007110, 49374 + 3735936685*x
18390618015966977675*~x + 18390618019702914360*x + 18390618015967027049, 49374 + 3735936685*x
3735986059*(x^y) + 18446744069973565557*~(x&y) + 3735936685*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
1837633326611838786*~x + 3675266656959663631*x + 16609110747097663456*(x|~y) + 16609110747097663456*(x|y), 49374 + 3735936685*x
14089152893767418589*~x + 14089152897503355274*(x&y) + 4357591176206196342*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973565557*~y + 3735936685*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
3497449760916477576*~x + 3735887311*~(x&y) + 3497449768388301572*(x&y) + 14949294309057137355*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 7471823996*~y + 18446744069973614931*~(x&y) + 3735887311*y, 49374 + 3735936685*x
6705430928212060439*~x + 6705430931947997124*x + 6705430928212109813, 49374 + 3735936685*x
14462683920155304583*(x&~y) + 14462683916419367898*~x + 3984060153554247033*~(x&y) + 18446744069973664305, 49374 + 3735936685*x
18446744069973664305*(x&~y) + 18446744069973614931*~x + 3735887311*(x^y) + 3735887311*(x|~y), 49374 + 3735936685*x
807587630383138063*(x&~y) + 18446744073709502242*~(x&y) + 807587630383088689*(x&y) + 17639156447062350238*x, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744073709502242*~y + 3735936685*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
3735936685*~y + 18446744069973614931*~(x&y) + 3735936685*(x|y) + 49374, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 5868900940829412549*~(x|~y) + 5868900944565349234*x + 12577843132880089693*(x|y), 49374 + 3735936685*x
18446744062501790935*~(x|y) + 7471823996*~y + 18446744069973614931*(x^y) + 3735887311*~(x&~y), 49374 + 3735936685*x
3735887311*(x&~y) + 16566360409996988769*~x + 16566360413732925454*(x&y) + 1880383663712513473*~(x&~y), 49374 + 3735936685*x
3735887311*~y + 18446744069973614931*~(x|~y) + 7471823996*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
3735887311*(x&~y) + 18446744073709502242*~(x|~y) + 3735936685*(x&y) + 18446744073709502242*~(x^y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735936685*(x&~y) + 3735936685*(x&y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
11207760681*~y + 18446744066237678246*~(x&y) + 18446744069973614931*~(x^y) + 7471823996*y, 49374 + 3735936685*x
5887669471746210810*~(x|y) + 18446744073709502242*~(x|~y) + 5887669475482147495*x + 12559074601963291432*(x|~y), 49374 + 3735936685*x
8882462495538239721*~x + 8882462499274176406*x + 8882462495538289095, 49374 + 3735936685*x
9655596147147498528*~x + 864448224321431499*x + 8791147926562003714*(x|~y) + 8791147926562003714*(x|y), 49374 + 3735936685*x
18446744069973664305*~(x|y) + 3735887311*~y + 3735936685*(x&y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
17071994829620438349*~(x|y) + 17071994829620438349*~(x|~y) + 1374749244089063893*~x + 3735887311*x, 49374 + 3735936685*x
16774312876485704620*~x + 10059587635466674619*~(x&y) + 8387156441978764308*x + 10059587635466674619*~(x&~y), 49374 + 3735936685*x
18446744066237678246*~(x|y) + 3735887311*~y + 3735936685*~(x^y) + 18446744073709502242*y, 49374 + 3735936685*x
13203357649864111180*~x + 13203357653600047865*x + 13203357649864160554, 49374 + 3735936685*x
18411076598072374944*(x&y) + 35667479373113357*x + 35667475637176672*~(x&~y) + 35667475637226046, 49374 + 3735936685*x
49374*~y + 18446744073709502242*~(x&y) + 3735936685*x + 18446744073709502242*(x|~y), 49374 + 3735936685*x
18446744069973565557*~(x|~y) + 18446744069973614931*~(x^y) + 3735887311*(x|~y) + 3735936685*y, 49374 + 3735936685*x
15124069180464807515*(x&~y) + 15124069176728870830*~x + 3322674893244744101*~(x&y) + 18446744069973664305, 49374 + 3735936685*x
3735887311*(x&~y) + 3735986059*(x&y) + 18446744073709502242*~(x^y) + 18446744073709502242*y, 49374 + 3735936685*x
98748*(x&y) + 18446744073709502242*~(x^y) + 3735887311*x + 18446744073709502242*y, 49374 + 3735936685*x
16222445694721307795*~(x|y) + 10335521224480904689*~x + 10335521228216841374*(x|~y) + 8111222849228597553*(x|y), 49374 + 3735936685*x
7471774622*(x&~y) + 18446744069973664305*~y + 18446744073709502242*~x + 3735887311*~(x^y), 49374 + 3735936685*x
14708283968411032441*~y + 18446744069973614931*~x + 14708283968411032441*y + 14708283964675145130, 49374 + 3735936685*x
596614982465821029*~(x&y) + 596614986201757714*(x&y) + 18446744069973614931*~(x&~y) + 596614978729933718, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735936685*(x&y) + 18446744069973614931*y + 3735887311*(x|y), 49374 + 3735936685*x
18446744073709502242*~y + 18446744069973565557*~(x|~y) + 18446744073709502242*(x&y) + 3735936685*(x|y), 49374 + 3735936685*x
3735887311*~(x&y) + 7471823996*~(x^y) + 7471823996*y + 18446744062501790935*~(x&~y), 49374 + 3735936685*x
2455628950581924943*~x + 2455628954317861628*x + 2455628950581974317, 49374 + 3735936685*x
18320399994351493670*~(x|~y) + 18446744073709502242*~x + 18320399998087380981*x + 126344079358057946*(x|y), 49374 + 3735936685*x
12694688883752457511*~(x|~y) + 5752055189957044731*~x + 5752055193692981416*x + 12694688883752457511*(x|~y), 49374 + 3735936685*x
18085342541116062956*~(x|y) + 18446744073709502242*~x + 18085342544851950267*x + 361401532593488660*(x|~y), 49374 + 3735936685*x
110900048113716306*~(x|y) + 3735936685*x + 110900048113716306*(x|y) + 110900048113765680, 49374 + 3735936685*x
7471774622*~(x|y) + 18446744066237727620*~x + 3735887311*(x^y) + 3735887311*y, 49374 + 3735936685*x
49374*~(x^y) + 3735887311*x + 49374*y + 18446744073709452868*~(x&~y), 49374 + 3735936685*x
18446744073709502242*~y + 3735936685*(x&y) + 18446744069973565557*y + 3735936685*(x|y), 49374 + 3735936685*x
3735887311*~(x|y) + 18446744069973614931*~(x&y) + 18446744069973614931*y + 7471823996*(x|y), 49374 + 3735936685*x
3735986059*(x&~y) + 18446744073709502242*(x^y) + 3735936685*(x&y) + 18446744073709502242*(x|~y), 49374 + 3735936685*x
3735936685*~y + 3735936685*(x^y) + 18446744069973565557*~(x&y) + 3735887311*(x&y), 49374 + 3735936685*x
3927385092171997959*~x + 3927385095907934644*x + 3927385092172047333, 49374 + 3735936685*x
2010588249740166289*~(x|y) + 2010588249740166289*~(x|~y) + 16436155823969335953*~x + 3735887311*x, 49374 + 3735936685*x
3735887311*~(x|y) + 3735936685*(x&~y) + 18446744069973614931*~(x&y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973614931*~y + 18446744069973565557*~(x|~y) + 3735936685*(x^y) + 3735887311*(x|~y), 49374 + 3735936685*x
12878798935773491430*~x + 12878798939509428115*x + 12878798935773540804, 49374 + 3735936685*x
16310901041052537242*~x + 16310901044788473927*x + 16310901041052586616, 49374 + 3735936685*x
14812568631358918867*(x&~y) + 3634175442350583375*~x + 3634175446086520060*x + 14812568631358918867*~(x&~y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 16391803382784345992*~(x|~y) + 16391803386520282677*x + 2054940690925156250*(x|y), 49374 + 3735936685*x
10925122279896194192*~x + 10925122283632130877*x + 10925122279896243566, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735887311*(x&~y) + 18446744069973614931*~(x|~y) + 3735887311*y, 49374 + 3735936685*x
717243392729032369*~x + 717243392729081743*(x&y) + 3735887311*x + 17729500680980469873*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 18446744073709502242*~(x&y) + 18446744073709502242*(x&y) + 3735936685*(x|y), 49374 + 3735936685*x
7812470797983712778*~(x|y) + 18446744073709502242*~(x|~y) + 7812470801719649463*x + 10634273275725789464*(x|~y), 49374 + 3735936685*x
3735986059*(x&y) + 18446744073709502242*~(x^y) + 18446744069973614931*y + 3735887311*(x|y), 49374 + 3735936685*x
3735936685*~(x^y) + 49374*y + 18446744069973565557*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744073709502242*(x&~y) + 18446744069973565557*~(x|~y) + 18446744073709502242*~(x^y) + 3735936685*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744073709502242*(x&~y) + 3735936685*(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
13570974413455454958*~(x|~y) + 13570974417191441017*x + 18446744073709502242*(x|~y) + 4875769660254047284*(x|y), 49374 + 3735936685*x
16526717144309731180*~y + 1920026929399771062*~x + 1920026933135707747*x + 16526717144309731180*y, 49374 + 3735936685*x
15681789798551929425*x + 2764954278893558876*(x|~y) + 2764954278893558876*(x|y) + 2764954278893608250, 49374 + 3735936685*x
3735936685*(x&~y) + 16899864336452802339*~(x&y) + 16899864340188739024*(x&y) + 16899864336452851713, 49374 + 3735936685*x
10289368684942780668*(x&~y) + 10289368681206843983*~x + 10289368684942780668*(x&y) + 10289368681206893357, 49374 + 3735936685*x
1110738373756839815*~x + 1110738377492776500*x + 1110738373756889189, 49374 + 3735936685*x
7876068202383555418*~x + 7876068206119492103*x + 7876068202383604792, 49374 + 3735936685*x
13714543333893606536*(x&~y) + 18446744069973614931*~x + 13714543333893606536*~(x&~y) + 13714543330157719225, 49374 + 3735936685*x
3735936685*(x^y) + 7471873370*(x&y) + 18446744069973614931*y + 49374, 49374 + 3735936685*x
14002858409040229605*~(x|~y) + 4443885660933385326*~x + 4443885664669322011*(x|y) + 4443885660933434700, 49374 + 3735936685*x
18446744073709502242*~(x^y) + 3735986059*x + 49374*y + 18446744073709452868*(x|y), 49374 + 3735936685*x
11401740905889198704*~y + 3735936685*x + 11401740905889198704*y + 11401740905889248078, 49374 + 3735936685*x
3735986059*(x&~y) + 3735986059*(x&y) + 18446744073709502242*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
15319652261694316314*~x + 3127091808279298617*~(x&y) + 3127091808279298617*~(x&~y) + 3127091804543411306, 49374 + 3735936685*x
10501797805140546554*~x + 10501797808876483239*x + 10501797805140595928, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 49374*~(x^y) + 3735887311*(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
527986253943993523*~x + 527986257679930208*(x|~y) + 527986257679930208*(x|y) + 1055972511623973105, 49374 + 3735936685*x
12410892922487734380*(x&~y) + 12241297612465659739*~(x&y) + 12241297616201596424*x + 6205446461243842503*~(x&~y), 49374 + 3735936685*x
5754241582131151760*~y + 3735936685*x + 5754241582131151760*y + 5754241582131201134, 49374 + 3735936685*x
18446744069973565557*~(x|y) + 18446744073709502242*(x^y) + 18446744073709502242*(x&y) + 3735936685*(x|~y), 49374 + 3735936685*x
6621380568846930781*~x + 6621380572582867466*x + 6621380568846980155, 49374 + 3735936685*x
3735936685*(x&~y) + 5631470232356494532*~(x&y) + 5631470236092431217*(x&y) + 5631470232356543906, 49374 + 3735936685*x
18444208351342527258*~(x|~y) + 2535722366974984*~x + 2535726102911669*x + 18444208351342527258*(x|~y), 49374 + 3735936685*x
49374*(x^y) + 18446744073709502242*~(x&y) + 3735936685*x + 18446744073709502242*(x|y), 49374 + 3735936685*x
10708538223808579259*~x + 7738205846165035672*~(x&y) + 7738205846165035672*~(x&~y) + 7738205842429148361, 49374 + 3735936685*x
3735936685*(x^y) + 18446744069973614931*~(x&y) + 3735936685*(x|~y) + 49374, 49374 + 3735936685*x
11011907240659959298*~(x|y) + 7434836829313606259*~(x|~y) + 7434836833049542944*(x|~y) + 11011907244395895983*(x|y), 49374 + 3735936685*x
3735986059*(x&y) + 18446744069973614931*~(x^y) + 3735887311*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
3735936685*(x&y) + 18446744069973614931*~(x^y) + 3735936685*(x|~y) + 49374, 49374 + 3735936685*x
18446744066237727620*~(x|y) + 3735887311*~(x&y) + 7471823996*~(x^y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
4632384175266691017*~x + 4632384175266740391*(x&y) + 3735887311*x + 13814359898442811225*~(x&~y), 49374 + 3735936685*x
7515933880100765468*~x + 7515933883836702153*x + 7515933880100814842, 49374 + 3735936685*x
18446744066237776994*~(x|~y) + 18446744073709502242*~x + 3735887311*(x^y) + 3735887311*y, 49374 + 3735936685*x
17824955004807846471*~(x|y) + 17824955008543733782*~(x|~y) + 621789065165768460*~x + 3735887311*(x|~y), 49374 + 3735936685*x
1037601056044976726*(x&~y) + 17927943545687038566*~(x&y) + 17927943549422975251*x + 518800528022463676*~(x&~y), 49374 + 3735936685*x
2662552360592175929*(x&~y) + 2662552356856239244*~x + 15784191716853262998*~(x&y) + 3735887311*(x&y), 49374 + 3735936685*x
18446744069973614931*~x + 9692977446824644903*~(x&y) + 9692977446824644903*(x&y) + 9692977443088757592, 49374 + 3735936685*x
14999782295396429378*~x + 14999782299132366063*x + 14999782295396478752, 49374 + 3735936685*x
8415058606351195806*(x&~y) + 8415058606351245180*(x&y) + 10031685471094243121*x + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
3735887311*~y + 7471774622*~(x|~y) + 18446744066237727620*~x + 3735887311*~(x^y), 49374 + 3735936685*x
3735887311*(x&~y) + 9876638175245791576*~x + 9876638178981728261*(x&y) + 8570105898463710666*~(x&~y), 49374 + 3735936685*x
16770863680516788506*~(x|y) + 16770863680516788506*~(x|~y) + 1675880393192713736*~x + 3735887311*x, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973614931*~y + 18446744073709502242*~(x|~y) + 3735887311*(x|~y), 49374 + 3735936685*x
18446744069973664305*(x^y) + 18446744073709502242*~(x&y) + 18446744069973614931*y + 7471823996*(x|y), 49374 + 3735936685*x
17034513775134510972*~x + 3735887311*~(x&y) + 17034513782606334968*(x&y) + 1412230294839103959*~(x&~y), 49374 + 3735936685*x
4618776850724274823*~x + 13827967219249340108*~(x&y) + 13827967219249340108*~(x&~y) + 13827967215513452797, 49374 + 3735936685*x
3577051929222451866*(x&~y) + 14869692148222987061*~(x&y) + 14869692151958923746*(x&y) + 3577051925486515181*~(x&~y), 49374 + 3735936685*x
3735936685*(x&~y) + 8347953760498052060*~(x&y) + 8347953764233988745*(x&y) + 8347953760498101434, 49374 + 3735936685*x
18446744073709502242*~(x|~y) + 3735887311*(x|~y) + 3735936685*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
7471823996*(x&~y) + 3735887311*~(x|~y) + 18446744069973614931*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
2485365635294692159*~x + 2485365639030628844*x + 2485365635294741533, 49374 + 3735936685*x
18446744066237727620*~(x|y) + 3735887311*~y + 3735936685*~(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
876057527255218122*~(x|y) + 876057530991154807*x + 17570686546454333494*(x|~y) + 49374, 49374 + 3735936685*x
7787195447413574055*~x + 7787195451149510740*x + 7787195447413623429, 49374 + 3735936685*x
18446744066237678246*~(x|y) + 3735936685*~y + 18446744069973614931*(x^y) + 18446744069973664305, 49374 + 3735936685*x
18446744069973664305*~y + 18446744073709502242*~(x&y) + 18446744069973614931*~(x^y) + 7471823996*(x|~y), 49374 + 3735936685*x
12337735098272749991*~x + 3735887311*~(x&y) + 12337735105744573987*(x&y) + 6109008971700864940*~(x&~y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735936685*~(x^y) + 18446744069973614931*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744073709502242*(x^y) + 3735887311*~(x^y) + 18446744069973614931*~(x&~y) + 3735936685*(x|y), 49374 + 3735936685*x
3735936685*(x|~y) + 3735986059*y + 18446744069973565557*~(x&~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
11818038414725901475*~(x|~y) + 3314352827623832041*~x + 15132391246085670201*(x|~y) + 3314352831359768726*(x|y), 49374 + 3735936685*x
13361261844219939558*~(x|y) + 13361261847955876243*x + 5085482229489612058*(x|~y) + 49374, 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 7471823996*(x^y) + 18446744069973614931*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
8055018546564983623*~(x|y) + 5195862761704290967*~x + 5195862765440227652*(x|~y) + 13250881312005211275*(x|y), 49374 + 3735936685*x
14961736124037151308*~(x|~y) + 3735936685*x + 14961736124037151308*(x|~y) + 14961736124037200682, 49374 + 3735936685*x
8557309538940988192*(x&~y) + 8557309538941037566*(x&y) + 9889434538504450735*x + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
3735936685*~y + 3735936685*(x&y) + 3735936685*(x|y) + 3735986059, 49374 + 3735936685*x
15400658161284548741*~x + 15400658165020485426*x + 15400658161284598115, 49374 + 3735936685*x
18446744069973614931*~y + 18446744066237678246*~(x|~y) + 3735936685*(x^y) + 18446744069973664305, 49374 + 3735936685*x
11939254831897148823*~(x&y) + 11939254835633085508*x + 11939254831897148823*~(x&~y) + 5431765590084795404, 49374 + 3735936685*x
18446744066237678246*~(x|~y) + 3735887311*(x^y) + 18446744073709502242*~(x^y) + 3735936685*y, 49374 + 3735936685*x
3735887311*(x&~y) + 18446744069973664305*~(x|~y) + 18446744073709502242*~x + 3735887311*y, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 8773463560284571738*~(x|~y) + 8773463564020508423*x + 9673280513424930504*(x|y), 49374 + 3735936685*x
10584965268127393844*(x&y) + 7861778809318094457*x + 7861778805582157772*~(x&~y) + 7861778805582207146, 49374 + 3735936685*x
18446744073709502242*(x&~y) + 3735936685*(x|~y) + 3735936685*y + 18446744069973565557*~(x&~y), 49374 + 3735936685*x
1263313226698304511*~x + 1263313230434241196*(x&y) + 17183430843275310420*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744069973614931*~(x|~y) + 3735887311*~(x&y) + 3735887311*(x&y), 49374 + 3735936685*x
12788470790327836950*~x + 12788470794063773635*x + 12788470790327886324, 49374 + 3735936685*x
9541898337170259822*(x&~y) + 18446744069973614931*~(x&y) + 9541898333434323137*~(x&~y) + 9541898329698435826, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 11353880311922315143*~(x|~y) + 11353880315658251828*(x|~y) + 11353880311922364517, 49374 + 3735936685*x
212068291318239876*~x + 212068295054176561*x + 212068291318289250, 49374 + 3735936685*x
12083823185890498520*~x + 12083823189626435205*(x|~y) + 12083823189626435205*(x|y) + 5720902301807431483, 49374 + 3735936685*x
18260018491248950751*(x&~y) + 186725586196488176*~(x&y) + 186725589932424861*(x&y) + 18260018487513014066*~(x&~y), 49374 + 3735936685*x
7666560798463030587*(x&~y) + 18446744069973614931*~x + 7666560798463030587*~(x&~y) + 7666560794727143276, 49374 + 3735936685*x
15666343307867578319*(x&~y) + 18446744073709502242*~x + 15666343307867578319*(x&y) + 2780400769577860608*x, 49374 + 3735936685*x
11527768727801448697*(x&~y) + 6918975349643990230*~(x&y) + 6918975353379926915*(x&y) + 11527768724065512012*~(x&~y), 49374 + 3735936685*x
1180145166900182451*~(x|y) + 18446744073709502242*~(x|~y) + 1180145170636119136*x + 17266598906809319791*(x|~y), 49374 + 3735936685*x
18391711297578735413*~(x|~y) + 18391711301314721472*x + 18446744073709502242*(x|~y) + 55032776130766829*(x|y), 49374 + 3735936685*x
6693191788644560366*(x&~y) + 18446744073709502242*~(x&y) + 6693191788644510992*(x&y) + 11753552288800927935*x, 49374 + 3735936685*x
7934681903772046546*~y + 18446744069973614931*~x + 7934681903772046546*y + 7934681900036159235, 49374 + 3735936685*x
3735887311*~(x|y) + 18446744066237727620*~x + 3735887311*(x^y) + 3735887311*~(x&~y), 49374 + 3735936685*x
17552432869382141964*~(x|y) + 18446744069973614931*~x + 17552432869382141964*(x|y) + 17552432865646254653, 49374 + 3735936685*x
18446744069973614931*~y + 7471823996*(x^y) + 11207760681*~(x^y) + 18446744066237678246*~(x&~y), 49374 + 3735936685*x
3735936685*(x&y) + 18446744069973664305*y + 18446744073709502242*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744066237678246*~(x&y) + 18446744069973614931*~(x^y) + 18446744069973614931*y + 18446744062501790935, 49374 + 3735936685*x
10496000026935578467*(x&~y) + 3735936685*(x&y) + 10496000023199641782*~(x&~y) + 10496000023199691156, 49374 + 3735936685*x
3735887311*(x&~y) + 11804919263189781782*~x + 11804919266925718467*(x&y) + 6641824810519720460*~(x&~y), 49374 + 3735936685*x
320102954296390683*~(x|~y) + 18446744069973614931*~x + 320102954296390683*(x|~y) + 320102950560503372, 49374 + 3735936685*x
17698028722194553209*(x&y) + 748715355250935092*x + 748715351514998407*~(x&~y) + 748715351515047781, 49374 + 3735936685*x
10669520380385635521*(x&~y) + 18446744073709502242*~x + 10669520380385635521*(x&y) + 7777223697059803406*x, 49374 + 3735936685*x
13439833389500146420*(x&~y) + 18446744069973614931*~(x&y) + 13439833385764209735*~(x&~y) + 13439833382028322424, 49374 + 3735936685*x
18446744073709518700*~(x&y) + 18446744073709535158*~(x^y) + 3735920227*x + 18446744073709535158*y, 49374 + 3735936685*x
3735936685*~y + 7471922744*(x&y) + 18446744069973565557*~(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
49374*(x&~y) + 18446744073709502242*~y + 18446744069973614931*~(x|~y) + 3735887311*(x|y), 49374 + 3735936685*x
10921189917057381991*~(x&y) + 10921189917057381991*(x&y) + 3735936685*x + 10921189917057431365, 49374 + 3735936685*x
11586374604076254975*~(x|~y) + 6860369465897359956*~x + 6860369469633296641*(x|y) + 6860369465897409330, 49374 + 3735936685*x
1028857250397104506*~y + 3735936685*x + 1028857250397104506*y + 1028857250397153880, 49374 + 3735936685*x
1438563873500521257*~x + 1438563877236457942*x + 1438563873500570631, 49374 + 3735936685*x
5117116224159127588*~y + 18446744069973614931*~x + 5117116224159127588*y + 5117116220423240277, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973565557*~(x|~y) + 18446744073709502242*(x|~y) + 3735936685*y, 49374 + 3735936685*x
1836370105244368090*~x + 1836370108980304775*x + 1836370105244417464, 49374 + 3735936685*x
10536532668662003815*~x + 10536532672397940500*x + 10536532668662053189, 49374 + 3735936685*x
10304469486289758536*(x&~y) + 10304469486289709162*~x + 8142274587419793080*~(x&y) + 3735887311*x, 49374 + 3735936685*x
786444019069176219*~x + 786444022805112904*x + 786444019069225593, 49374 + 3735936685*x
6528279446796458240*~x + 6528279446796507614*(x&y) + 3735887311*x + 11918464626913044002*~(x&~y), 49374 + 3735936685*x
11968230263084327520*(x&y) + 6478513814361160781*x + 6478513810625224096*~(x&~y) + 6478513810625273470, 49374 + 3735936685*x
